record_date,workshop_code,output_qty,output_unit
2024-01-20,W04,2830.389,件
2024-01-20,W05,4416.609,平方米
2024-01-20,W06,177.093,台
2024-01-20,W07,512.827,吨蒸汽
2024-01-20,W08,5525.111,件
2024-01-21,W01,255.272,吨
2024-01-21,W02,292.747,吨
2024-01-21,W03,89.566,吨
2024-01-21,W04,894.867,件
2024-01-21,W05,1351.761,平方米
2024-01-21,W06,53.637,台
2024-01-21,W07,489.743,吨蒸汽
2024-01-21,W08,2033.578,件
2024-01-22,W01,257.406,吨
2024-01-22,W02,334.22,吨
2024-01-22,W03,100.743,吨
2024-01-22,W04,4238.644,件
2024-01-22,W05,6856.491,平方米
2024-01-22,W06,242.423,台
2024-01-22,W07,475.933,吨蒸汽
2024-01-22,W08,10064.114,件
2024-01-23,W01,262.069,吨
2024-01-23,W02,294.376,吨
2024-01-23,W03,102.133,吨
2024-01-23,W04,4481.345,件
2024-01-23,W05,6743.969,平方米
2024-01-23,W06,269.373,台
2024-01-23,W07,534.332,吨蒸汽
2024-01-23,W08,10530.754,件
2024-01-24,W01,259.189,吨
2024-01-24,W02,346.054,吨
2024-01-24,W03,88.953,吨
2024-01-24,W04,4580.845,件
2024-01-24,W05,7651.405,平方米
2024-01-24,W06,290.985,台
2024-01-24,W07,561.972,吨蒸汽
2024-01-24,W08,8888.294,件
2024-01-25,W01,261.899,吨
2024-01-25,W02,369.152,吨
2024-01-25,W03,91.191,吨
2024-01-25,W04,3991.466,件
2024-01-25,W05,7344.173,平方米
2024-01-25,W06,267.615,台
2024-01-25,W07,484.989,吨蒸汽
2024-01-25,W08,9616.891,件
2024-01-26,W01,253.389,吨
2024-01-26,W02,287.552,吨
2024-01-26,W03,101.166,吨
2024-01-26,W04,4401.226,件
2024-01-26,W05,6394.077,平方米
2024-01-26,W06,229.023,台
2024-01-26,W07,568.347,吨蒸汽
2024-01-26,W08,10561.215,件
2024-01-27,W01,239.449,吨
2024-01-27,W02,303.071,吨
2024-01-27,W03,92.73,吨
2024-01-27,W04,2517.128,件
2024-01-27,W05,4774.846,平方米
2024-01-27,W06,160.251,台
2024-01-27,W07,508.904,吨蒸汽
2024-01-27,W08,5716.712,件
2024-01-28,W01,229.811,吨
2024-01-28,W02,299.849,吨
2024-01-28,W03,88.75,吨
2024-01-28,W04,775.238,件
2024-01-28,W05,1266.01,平方米
2024-01-28,W06,51.828,台
2024-01-28,W07,521.258,吨蒸汽
2024-01-28,W08,2191.759,件
2024-01-29,W01,269.45,吨
2024-01-29,W02,327.652,吨
2024-01-29,W03,104.455,吨
2024-01-29,W04,4057.338,件
2024-01-29,W05,6408.048,平方米
2024-01-29,W06,265.101,台
2024-01-29,W07,525.56,吨蒸汽
2024-01-29,W08,10221.514,件
2024-01-30,W01,246.255,吨
2024-01-30,W02,301.005,吨
2024-01-30,W03,100.703,吨
2024-01-30,W04,3681.655,件
2024-01-30,W05,6851.557,平方米
2024-01-30,W06,241.83,台
2024-01-30,W07,518.471,吨蒸汽
2024-01-30,W08,10296.743,件
2024-01-31,W01,237.351,吨
2024-01-31,W02,328.592,吨
2024-01-31,W03,91.672,吨
2024-01-31,W04,4266.932,件
2024-01-31,W05,6578.017,平方米
2024-01-31,W06,264.517,台
2024-01-31,W07,484.764,吨蒸汽
2024-01-31,W08,9887.916,件
2024-02-01,W01,264.98,吨
2024-02-01,W02,309.799,吨
2024-02-01,W03,96.285,吨
2024-02-01,W04,3773.637,件
2024-02-01,W05,7202.238,平方米
2024-02-01,W06,263.688,台
2024-02-01,W07,535.634,吨蒸汽
2024-02-01,W08,11255.81,件
2024-02-02,W01,264.615,吨
2024-02-02,W02,332.562,吨
2024-02-02,W03,92.756,吨
2024-02-02,W04,3970.768,件
2024-02-02,W05,6756.13,平方米
2024-02-02,W06,258.062,台
2024-02-02,W07,505.255,吨蒸汽
2024-02-02,W08,8412.132,件
2024-02-03,W01,257.843,吨
2024-02-03,W02,329.092,吨
2024-02-03,W03,89.638,吨
2024-02-03,W04,2565.059,件
2024-02-03,W05,3948.634,平方米
2024-02-03,W06,162.381,台
2024-02-03,W07,455.353,吨蒸汽
2024-02-03,W08,6026.996,件
2024-02-04,W01,254.711,吨
2024-02-04,W02,276.573,吨
2024-02-04,W03,85.13,吨
2024-02-04,W04,746.37,件
2024-02-04,W05,1307.167,平方米
2024-02-04,W06,48.792,台
2024-02-04,W07,459.756,吨蒸汽
2024-02-04,W08,2114.839,件
2024-02-05,W01,251.318,吨
2024-02-05,W02,312.965,吨
2024-02-05,W03,101.694,吨
2024-02-05,W04,4443.722,件
2024-02-05,W05,6509.688,平方米
2024-02-05,W06,276.087,台
2024-02-05,W07,467.873,吨蒸汽
2024-02-05,W08,9739.645,件
2024-02-06,W01,237.293,吨
2024-02-06,W02,345.466,吨
2024-02-06,W03,92.155,吨
2024-02-06,W04,4156.951,件
2024-02-06,W05,7412.36,平方米
2024-02-06,W06,259.986,台
2024-02-06,W07,560.627,吨蒸汽
2024-02-06,W08,9852.29,件
2024-02-07,W01,266.493,吨
2024-02-07,W02,329.284,吨
2024-02-07,W03,94.119,吨
2024-02-07,W04,4256.879,件
2024-02-07,W05,6557.035,平方米
2024-02-07,W06,257.779,台
2024-02-07,W07,497.514,吨蒸汽
2024-02-07,W08,9320.337,件
2024-02-08,W01,245.191,吨
2024-02-08,W02,307.85,吨
2024-02-08,W03,102.268,吨
2024-02-08,W04,3759.118,件
2024-02-08,W05,7335.19,平方米
2024-02-08,W06,258.619,台
2024-02-08,W07,545.33,吨蒸汽
2024-02-08,W08,9592.805,件
2024-02-09,W01,243.56,吨
2024-02-09,W02,336.961,吨
2024-02-09,W03,99.411,吨
2024-02-09,W04,4109.289,件
2024-02-09,W05,6429.305,平方米
2024-02-09,W06,254.553,台
2024-02-09,W07,500.966,吨蒸汽
2024-02-09,W08,10382.832,件
2024-02-10,W01,220.291,吨
2024-02-10,W02,307.747,吨
2024-02-10,W03,85.759,吨
2024-02-10,W04,260.172,件
2024-02-10,W05,443.92,平方米
2024-02-10,W06,15.53,台
2024-02-10,W07,455.375,吨蒸汽
2024-02-10,W08,614.458,件
2024-02-11,W01,235.569,吨
2024-02-11,W02,272.657,吨
2024-02-11,W03,80.706,吨
2024-02-11,W04,227.099,件
2024-02-11,W05,428.589,平方米
2024-02-11,W06,15.221,台
2024-02-11,W07,468.827,吨蒸汽
2024-02-11,W08,615.633,件
2024-02-12,W01,231.741,吨
2024-02-12,W02,270.506,吨
2024-02-12,W03,83.666,吨
2024-02-12,W04,236.513,件
2024-02-12,W05,417.125,平方米
2024-02-12,W06,15.601,台
2024-02-12,W07,440.609,吨蒸汽
2024-02-12,W08,613.435,件
2024-02-13,W01,229.509,吨
2024-02-13,W02,273.542,吨
2024-02-13,W03,84.636,吨
2024-02-13,W04,247.116,件
2024-02-13,W05,399.09,平方米
2024-02-13,W06,15.882,台
2024-02-13,W07,475.412,吨蒸汽
2024-02-13,W08,632.618,件
2024-02-14,W01,244.781,吨
2024-02-14,W02,271.644,吨
2024-02-14,W03,84.342,吨
2024-02-14,W04,249.846,件
2024-02-14,W05,405.761,平方米
2024-02-14,W06,15.57,台
2024-02-14,W07,469.372,吨蒸汽
2024-02-14,W08,610.613,件
2024-02-15,W01,214.105,吨
2024-02-15,W02,291.401,吨
2024-02-15,W03,86.101,吨
2024-02-15,W04,266.445,件
2024-02-15,W05,414.856,平方米
2024-02-15,W06,16.503,台
2024-02-15,W07,468.926,吨蒸汽
2024-02-15,W08,553.338,件
2024-02-16,W01,223.146,吨
2024-02-16,W02,305.961,吨
2024-02-16,W03,84.5,吨
2024-02-16,W04,268.667,件
2024-02-16,W05,423.728,平方米
2024-02-16,W06,16.099,台
2024-02-16,W07,470.089,吨蒸汽
2024-02-16,W08,556.775,件
2024-02-17,W01,226.318,吨
2024-02-17,W02,279.059,吨
2024-02-17,W03,92.626,吨
2024-02-17,W04,251.851,件
2024-02-17,W05,393.759,平方米
2024-02-17,W06,14.565,台
2024-02-17,W07,461.285,吨蒸汽
2024-02-17,W08,647.935,件
2024-02-18,W01,252.484,吨
2024-02-18,W02,329.882,吨
2024-02-18,W03,95.602,吨
2024-02-18,W04,877.647,件
2024-02-18,W05,1346.079,平方米
2024-02-18,W06,53.733,台
2024-02-18,W07,470.752,吨蒸汽
2024-02-18,W08,1859.37,件
2024-02-19,W01,222.154,吨
2024-02-19,W02,293.018,吨
2024-02-19,W03,95.759,吨
2024-02-19,W04,4192.399,件
2024-02-19,W05,6667.326,平方米
2024-02-19,W06,281.545,台
2024-02-19,W07,522.817,吨蒸汽
2024-02-19,W08,10319.055,件
2024-02-20,W01,277.638,吨
2024-02-20,W02,288.042,吨
2024-02-20,W03,96.3,吨
2024-02-20,W04,4223.505,件
2024-02-20,W05,6319.75,平方米
2024-02-20,W06,272.68,台
2024-02-20,W07,503.328,吨蒸汽
2024-02-20,W08,10434.765,件
2024-02-21,W01,266.662,吨
2024-02-21,W02,304.217,吨
2024-02-21,W03,90.979,吨
2024-02-21,W04,4637.046,件
2024-02-21,W05,6837.076,平方米
2024-02-21,W06,247.69,台
2024-02-21,W07,540.184,吨蒸汽
2024-02-21,W08,9548.178,件
2024-02-22,W01,257.599,吨
2024-02-22,W02,324.999,吨
2024-02-22,W03,97.139,吨
2024-02-22,W04,3856.603,件
2024-02-22,W05,7084.068,平方米
2024-02-22,W06,287.205,台
2024-02-22,W07,524.18,吨蒸汽
2024-02-22,W08,9941.978,件
2024-02-23,W01,246.969,吨
2024-02-23,W02,336.637,吨
2024-02-23,W03,101.834,吨
2024-02-23,W04,4144.313,件
2024-02-23,W05,7278.583,平方米
2024-02-23,W06,287.487,台
2024-02-23,W07,497.118,吨蒸汽
2024-02-23,W08,9660.092,件
2024-02-24,W01,271.088,吨
2024-02-24,W02,292.707,吨
2024-02-24,W03,91.755,吨
2024-02-24,W04,2373.616,件
2024-02-24,W05,4070.964,平方米
2024-02-24,W06,150.063,台
2024-02-24,W07,492.045,吨蒸汽
2024-02-24,W08,5504.297,件
2024-02-25,W01,224.843,吨
2024-02-25,W02,313.032,吨
2024-02-25,W03,86.393,吨
2024-02-25,W04,795.609,件
2024-02-25,W05,1437.085,平方米
2024-02-25,W06,52.71,台
2024-02-25,W07,473.366,吨蒸汽
2024-02-25,W08,2124.769,件
2024-02-26,W01,253.045,吨
2024-02-26,W02,314.688,吨
2024-02-26,W03,97.253,吨
2024-02-26,W04,4063.178,件
2024-02-26,W05,6803.405,平方米
2024-02-26,W06,246.047,台
2024-02-26,W07,558.198,吨蒸汽
2024-02-26,W08,9772.88,件
2024-02-27,W01,254.561,吨
2024-02-27,W02,336.741,吨
2024-02-27,W03,98.268,吨
2024-02-27,W04,4045.822,件
2024-02-27,W05,7260.291,平方米
2024-02-27,W06,261.715,台
2024-02-27,W07,487.389,吨蒸汽
2024-02-27,W08,10057.295,件
2024-02-28,W01,252.581,吨
2024-02-28,W02,284.925,吨
2024-02-28,W03,91.724,吨
2024-02-28,W04,4135.076,件
2024-02-28,W05,6486.004,平方米
2024-02-28,W06,260.925,台
2024-02-28,W07,511.697,吨蒸汽
2024-02-28,W08,10715.325,件
2024-02-29,W01,261.856,吨
2024-02-29,W02,314.248,吨
2024-02-29,W03,98.006,吨
2024-02-29,W04,3947.174,件
2024-02-29,W05,6637.145,平方米
2024-02-29,W06,266.121,台
2024-02-29,W07,542.472,吨蒸汽
2024-02-29,W08,9636.998,件
2024-03-01,W01,245.18,吨
2024-03-01,W02,312.951,吨
2024-03-01,W03,89.09,吨
2024-03-01,W04,4544.234,件
2024-03-01,W05,6151.132,平方米
2024-03-01,W06,262.012,台
2024-03-01,W07,531.163,吨蒸汽
2024-03-01,W08,9787.569,件
2024-03-02,W01,262.992,吨
2024-03-02,W02,313.994,吨
2024-03-02,W03,95.192,吨
2024-03-02,W04,2694.444,件
2024-03-02,W05,4514.226,平方米
2024-03-02,W06,145.84,台
2024-03-02,W07,530.286,吨蒸汽
2024-03-02,W08,6661.924,件
2024-03-03,W01,244.255,吨
2024-03-03,W02,291.168,吨
2024-03-03,W03,90.693,吨
2024-03-03,W04,864.402,件
2024-03-03,W05,1366.618,平方米
2024-03-03,W06,46.93,台
2024-03-03,W07,493.763,吨蒸汽
2024-03-03,W08,1990.305,件
2024-03-04,W01,244.014,吨
2024-03-04,W02,333.857,吨
2024-03-04,W03,100.866,吨
2024-03-04,W04,4151.711,件
2024-03-04,W05,6468.387,平方米
2024-03-04,W06,264.61,台
2024-03-04,W07,509.337,吨蒸汽
2024-03-04,W08,10917.98,件
2024-03-05,W01,265.492,吨
2024-03-05,W02,329.347,吨
2024-03-05,W03,101.796,吨
2024-03-05,W04,3994.939,件
2024-03-05,W05,6056.919,平方米
2024-03-05,W06,248.551,台
2024-03-05,W07,534.85,吨蒸汽
2024-03-05,W08,9670.371,件
2024-03-06,W01,270.452,吨
2024-03-06,W02,314.86,吨
2024-03-06,W03,84.576,吨
2024-03-06,W04,3855.601,件
2024-03-06,W05,6341.829,平方米
2024-03-06,W06,265.949,台
2024-03-06,W07,537.01,吨蒸汽
2024-03-06,W08,9355.344,件
2024-03-07,W01,262.025,吨
2024-03-07,W02,308.902,吨
2024-03-07,W03,89.953,吨
2024-03-07,W04,3529.016,件
2024-03-07,W05,6866.574,平方米
2024-03-07,W06,263.369,台
2024-03-07,W07,535.858,吨蒸汽
2024-03-07,W08,9944.089,件
2024-03-08,W01,257.497,吨
2024-03-08,W02,308.644,吨
2024-03-08,W03,96.317,吨
2024-03-08,W04,4369.16,件
2024-03-08,W05,7200.735,平方米
2024-03-08,W06,264.903,台
2024-03-08,W07,548.437,吨蒸汽
2024-03-08,W08,9938.743,件
2024-03-09,W01,245.013,吨
2024-03-09,W02,319.267,吨
2024-03-09,W03,94.342,吨
2024-03-09,W04,2560.152,件
2024-03-09,W05,4486.747,平方米
2024-03-09,W06,157.476,台
2024-03-09,W07,532.142,吨蒸汽
2024-03-09,W08,6609.484,件
2024-03-10,W01,256.907,吨
2024-03-10,W02,332.381,吨
2024-03-10,W03,90.86,吨
2024-03-10,W04,923.873,件
2024-03-10,W05,1373.131,平方米
2024-03-10,W06,48.75,台
2024-03-10,W07,503.947,吨蒸汽
2024-03-10,W08,1888.279,件
2024-03-11,W01,260.895,吨
2024-03-11,W02,311.369,吨
2024-03-11,W03,97.022,吨
2024-03-11,W04,3995.795,件
2024-03-11,W05,7186.2,平方米
2024-03-11,W06,237.489,台
2024-03-11,W07,525.937,吨蒸汽
2024-03-11,W08,9760.701,件
2024-03-12,W01,239.905,吨
2024-03-12,W02,333.791,吨
2024-03-12,W03,95.521,吨
2024-03-12,W04,4412.66,件
2024-03-12,W05,6922.917,平方米
2024-03-12,W06,274.762,台
2024-03-12,W07,545.823,吨蒸汽
2024-03-12,W08,9475.258,件
2024-03-13,W01,260.697,吨
2024-03-13,W02,320.177,吨
2024-03-13,W03,91.789,吨
2024-03-13,W04,4415.42,件
2024-03-13,W05,7601.914,平方米
2024-03-13,W06,281.272,台
2024-03-13,W07,490.085,吨蒸汽
2024-03-13,W08,11225.101,件
2024-03-14,W01,279.644,吨
2024-03-14,W02,296.015,吨
2024-03-14,W03,105.678,吨
2024-03-14,W04,4649.409,件
2024-03-14,W05,6396.602,平方米
2024-03-14,W06,286.87,台
2024-03-14,W07,514.662,吨蒸汽
2024-03-14,W08,9867.052,件
2024-03-15,W01,272.795,吨
2024-03-15,W02,318.549,吨
2024-03-15,W03,93.059,吨
2024-03-15,W04,4227.517,件
2024-03-15,W05,7277.694,平方米
2024-03-15,W06,251.476,台
2024-03-15,W07,545.134,吨蒸汽
2024-03-15,W08,10010.344,件
2024-03-16,W01,251.671,吨
2024-03-16,W02,325.543,吨
2024-03-16,W03,99.113,吨
2024-03-16,W04,2574.379,件
2024-03-16,W05,3724.737,平方米
2024-03-16,W06,153.863,台
2024-03-16,W07,550.171,吨蒸汽
2024-03-16,W08,5419.404,件
2024-03-17,W01,228.105,吨
2024-03-17,W02,317.51,吨
2024-03-17,W03,88.808,吨
2024-03-17,W04,824.94,件
2024-03-17,W05,1429.359,平方米
2024-03-17,W06,48.061,台
2024-03-17,W07,496.523,吨蒸汽
2024-03-17,W08,1992.473,件
2024-03-18,W01,260.813,吨
2024-03-18,W02,339.172,吨
2024-03-18,W03,102.87,吨
2024-03-18,W04,4231.586,件
2024-03-18,W05,7267.185,平方米
2024-03-18,W06,258.343,台
2024-03-18,W07,550.51,吨蒸汽
2024-03-18,W08,10388.323,件
2024-03-19,W01,265.359,吨
2024-03-19,W02,321.814,吨
2024-03-19,W03,98.492,吨
2024-03-19,W04,4460.175,件
2024-03-19,W05,7158.773,平方米
2024-03-19,W06,242.648,台
2024-03-19,W07,563.227,吨蒸汽
2024-03-19,W08,10348.882,件
2024-03-20,W01,270.681,吨
2024-03-20,W02,345.758,吨
2024-03-20,W03,101.502,吨
2024-03-20,W04,4304.883,件
2024-03-20,W05,6833.732,平方米
2024-03-20,W06,273.168,台
2024-03-20,W07,538.297,吨蒸汽
2024-03-20,W08,9629.188,件
2024-03-21,W01,273.152,吨
2024-03-21,W02,323.346,吨
2024-03-21,W03,88.082,吨
2024-03-21,W04,3930.095,件
2024-03-21,W05,6339.575,平方米
2024-03-21,W06,270.648,台
2024-03-21,W07,513.71,吨蒸汽
2024-03-21,W08,9363.208,件
2024-03-22,W01,272.368,吨
2024-03-22,W02,329.295,吨
2024-03-22,W03,96.966,吨
2024-03-22,W04,4007.735,件
2024-03-22,W05,7291.643,平方米
2024-03-22,W06,292.478,台
2024-03-22,W07,516.897,吨蒸汽
2024-03-22,W08,9853.755,件
2024-03-23,W01,289.561,吨
2024-03-23,W02,320.665,吨
2024-03-23,W03,92.118,吨
2024-03-23,W04,2509.206,件
2024-03-23,W05,3984.354,平方米
2024-03-23,W06,154.78,台
2024-03-23,W07,529.13,吨蒸汽
2024-03-23,W08,5399.87,件
2024-03-24,W01,223.699,吨
2024-03-24,W02,319.869,吨
2024-03-24,W03,87.199,吨
2024-03-24,W04,803.729,件
2024-03-24,W05,1405.358,平方米
2024-03-24,W06,51.6,台
2024-03-24,W07,519.149,吨蒸汽
2024-03-24,W08,2088.381,件
2024-03-25,W01,253.158,吨
2024-03-25,W02,340.586,吨
2024-03-25,W03,97.285,吨
2024-03-25,W04,3826.78,件
2024-03-25,W05,6969.898,平方米
2024-03-25,W06,276.49,台
2024-03-25,W07,571.791,吨蒸汽
2024-03-25,W08,9188.487,件
2024-03-26,W01,276.317,吨
2024-03-26,W02,350.658,吨
2024-03-26,W03,102.892,吨
2024-03-26,W04,4120.791,件
2024-03-26,W05,7077.5,平方米
2024-03-26,W06,251.405,台
2024-03-26,W07,526.429,吨蒸汽
2024-03-26,W08,10516.028,件
2024-03-27,W01,274.962,吨
2024-03-27,W02,308.525,吨
2024-03-27,W03,99.093,吨
2024-03-27,W04,4198.568,件
2024-03-27,W05,6240.073,平方米
2024-03-27,W06,286.566,台
2024-03-27,W07,543.798,吨蒸汽
2024-03-27,W08,9013.865,件
2024-03-28,W01,239.028,吨
2024-03-28,W02,282.375,吨
2024-03-28,W03,96.099,吨
2024-03-28,W04,4623.942,件
2024-03-28,W05,6485.646,平方米
2024-03-28,W06,253.124,台
2024-03-28,W07,524.123,吨蒸汽
2024-03-28,W08,9755.817,件
2024-03-29,W01,251.473,吨
2024-03-29,W02,296.237,吨
2024-03-29,W03,90.231,吨
2024-03-29,W04,3892.402,件
2024-03-29,W05,6936.568,平方米
2024-03-29,W06,252.15,台
2024-03-29,W07,518.622,吨蒸汽
2024-03-29,W08,9466.528,件
2024-03-30,W01,288.394,吨
2024-03-30,W02,318.244,吨
2024-03-30,W03,97.24,吨
2024-03-30,W04,2669.561,件
2024-03-30,W05,3912.808,平方米
2024-03-30,W06,170.359,台
2024-03-30,W07,546.434,吨蒸汽
2024-03-30,W08,6180.329,件
2024-03-31,W01,213.252,吨
2024-03-31,W02,318.167,吨
2024-03-31,W03,93.861,吨
2024-03-31,W04,785.82,件
2024-03-31,W05,1454.059,平方米
2024-03-31,W06,47.85,台
2024-03-31,W07,486.995,吨蒸汽
2024-03-31,W08,1966.885,件
2024-04-01,W01,272.576,吨
2024-04-01,W02,327.359,吨
2024-04-01,W03,100.641,吨
2024-04-01,W04,4235.107,件
2024-04-01,W05,7127.206,平方米
2024-04-01,W06,254.685,台
2024-04-01,W07,519.946,吨蒸汽
2024-04-01,W08,9492.051,件
2024-04-02,W01,273.018,吨
2024-04-02,W02,315.048,吨
2024-04-02,W03,88.814,吨
2024-04-02,W04,4235.779,件
2024-04-02,W05,7386.07,平方米
2024-04-02,W06,273.501,台
2024-04-02,W07,526.017,吨蒸汽
2024-04-02,W08,11224.745,件
2024-04-03,W01,258.146,吨
2024-04-03,W02,328.926,吨
2024-04-03,W03,97.184,吨
2024-04-03,W04,4450.796,件
2024-04-03,W05,7022.985,平方米
2024-04-03,W06,277.397,台
2024-04-03,W07,571.998,吨蒸汽
2024-04-03,W08,9684.632,件
2024-04-04,W01,240.487,吨
2024-04-04,W02,285.378,吨
2024-04-04,W03,87.246,吨
2024-04-04,W04,264.462,件
2024-04-04,W05,419.036,平方米
2024-04-04,W06,16.983,台
2024-04-04,W07,473.53,吨蒸汽
2024-04-04,W08,631.153,件
2024-04-05,W01,250.245,吨
2024-04-05,W02,274.641,吨
2024-04-05,W03,87.137,吨
2024-04-05,W04,263.585,件
2024-04-05,W05,441.44,平方米
2024-04-05,W06,16.407,台
2024-04-05,W07,494.218,吨蒸汽
2024-04-05,W08,579.316,件
2024-04-06,W01,241.394,吨
2024-04-06,W02,291.475,吨
2024-04-06,W03,85.138,吨
2024-04-06,W04,243.662,件
2024-04-06,W05,423.862,平方米
2024-04-06,W06,15.286,台
2024-04-06,W07,520.589,吨蒸汽
2024-04-06,W08,574.627,件
2024-04-07,W01,251.433,吨
2024-04-07,W02,304.796,吨
2024-04-07,W03,92.751,吨
2024-04-07,W04,821.864,件
2024-04-07,W05,1445.415,平方米
2024-04-07,W06,50.384,台
2024-04-07,W07,481.701,吨蒸汽
2024-04-07,W08,1814.693,件
2024-04-08,W01,246.343,吨
2024-04-08,W02,317.64,吨
2024-04-08,W03,93.802,吨
2024-04-08,W04,4593.102,件
2024-04-08,W05,7229.578,平方米
