年月,车间,产量单位,单位产品电耗_kWh
2024-05,热处理车间,吨,262.3406
2024-06,热处理车间,吨,297.9297
2024-07,热处理车间,吨,325.4967
2024-08,热处理车间,吨,308.3922
2024-09,热处理车间,吨,272.5337
2024-10,热处理车间,吨,256.2077
2024-11,热处理车间,吨,272.9942
2024-12,热处理车间,吨,310.9459
2025-01,热处理车间,吨,298.8048
2025-02,热处理车间,吨,277.2750
2025-03,热处理车间,吨,250.8972
2025-04,热处理车间,吨,240.7149
2025-05,热处理车间,吨,249.5837
2025-06,热处理车间,吨,283.4341
2025-07,热处理车间,吨,308.5594
2025-08,热处理车间,吨,312.9236
2025-09,热处理车间,吨,266.9505
2025-10,热处理车间,吨,248.4314
2025-11,热处理车间,吨,263.5422
2025-12,热处理车间,吨,285.7256
2024-01,机加工车间,件,5.0817
2024-02,机加工车间,件,5.2326
2024-03,机加工车间,件,4.4370
2024-04,机加工车间,件,4.4586
2024-05,机加工车间,件,4.3951
2024-06,机加工车间,件,5.0585
2024-07,机加工车间,件,5.4333
2024-08,机加工车间,件,5.2756
2024-09,机加工车间,件,4.7033
2024-10,机加工车间,件,4.4491
2024-11,机加工车间,件,4.4956
2024-12,机加工车间,件,5.0363
2025-01,机加工车间,件,5.2474
2025-02,机加工车间,件,5.0210
2025-03,机加工车间,件,4.2575
2025-04,机加工车间,件,4.1375
2025-05,机加工车间,件,4.3950
2025-06,机加工车间,件,4.8470
2025-07,机加工车间,件,5.1715
2025-08,机加工车间,件,5.2189
2025-09,机加工车间,件,4.4992
2025-10,机加工车间,件,4.2798
2025-11,机加工车间,件,4.5538
2025-12,机加工车间,件,4.8917
2024-01,表面处理车间,平方米,3.7772
2024-02,表面处理车间,平方米,3.7479
2024-03,表面处理车间,平方米,3.4076
2024-04,表面处理车间,平方米,3.1878
2024-05,表面处理车间,平方米,3.2648
2024-06,表面处理车间,平方米,3.7472
2024-07,表面处理车间,平方米,3.8607
2024-08,表面处理车间,平方米,3.9662
2024-09,表面处理车间,平方米,3.5980
2024-10,表面处理车间,平方米,3.3513
2024-11,表面处理车间,平方米,3.2665
2024-12,表面处理车间,平方米,3.7759
2025-01,表面处理车间,平方米,4.0413
2025-02,表面处理车间,平方米,3.6252
2025-03,表面处理车间,平方米,3.1322
2025-04,表面处理车间,平方米,3.0203
2025-05,表面处理车间,平方米,3.2803
2025-06,表面处理车间,平方米,3.6143
2025-07,表面处理车间,平方米,3.9356
2025-08,表面处理车间,平方米,3.8337
2025-09,表面处理车间,平方米,3.2801
2025-10,表面处理车间,平方米,3.2237
2025-11,表面处理车间,平方米,3.2992
2025-12,表面处理车间,平方米,3.5341
2024-01,装配车间,台,53.1744
2024-02,装配车间,台,52.4025
2024-03,装配车间,台,46.1226
2024-04,装配车间,台,43.9601
2024-05,装配车间,台,46.5820
2024-06,装配车间,台,53.2409
2024-07,装配车间,台,54.6441
2024-08,装配车间,台,52.3559
2024-09,装配车间,台,49.3108
2024-10,装配车间,台,45.4642
2024-11,装配车间,台,47.3464
2024-12,装配车间,台,51.2601
2025-01,装配车间,台,50.6661
2025-02,装配车间,台,50.0293
2025-03,装配车间,台,43.8411
2025-04,装配车间,台,43.0017
2025-05,装配车间,台,44.3559
2025-06,装配车间,台,50.5594
2025-07,装配车间,台,55.3894
2025-08,装配车间,台,53.7592
2025-09,装配车间,台,45.8768
2025-10,装配车间,台,44.5045
2025-11,装配车间,台,45.0614
2025-12,装配车间,台,52.4671
2024-01,包装车间,件,0.6132
2024-02,包装车间,件,0.6130
2024-03,包装车间,件,0.5446
2024-04,包装车间,件,0.5452
2024-05,包装车间,件,0.5502
2024-06,包装车间,件,0.6103
2024-07,包装车间,件,0.6590
2024-08,包装车间,件,0.6458
2024-09,包装车间,件,0.6074
2024-10,包装车间,件,0.5266
2024-11,包装车间,件,0.5563
2024-12,包装车间,件,0.6115
2025-01,包装车间,件,0.6303
2025-02,包装车间,件,0.5945
2025-03,包装车间,件,0.5371
2025-04,包装车间,件,0.5089
2025-05,包装车间,件,0.5288
2025-06,包装车间,件,0.6052
2025-07,包装车间,件,0.6478
2025-08,包装车间,件,0.6404
2025-09,包装车间,件,0.5476
2025-10,包装车间,件,0.5222
2025-11,包装车间,件,0.5418
2025-12,包装车间,件,0.5992
