record_date,workshop_code,energy_code,consumption,unit,unit_price,cost,record_status,avg_temperature,data_source,is_production_day
2024-01-23,W03,E01,29252.527,kWh,0.6815,19936.59,正常,-3.47,MES,1
2025-12-20,W02,E04,194.936,m³,4.1999,818.71,正常,1.18,MES,1
2025-08-29,W05,E04,414.389,m³,4.1674,1726.91,正常,29.89,MES,1
2024-08-20,W02,E02,4664.152,m³,3.417,15937.63,正常,25.77,MES,1
2024-02-16,W01,E02,10962.804,m³,3.3624,36860.8,正常,-1.73,MES,1
2024-11-29,W07,E01,8704.771,kWh,0.6816,5933.22,正常,6.46,MES,1
2024-03-16,W07,E02,17340.094,m³,3.4444,59726.75,正常,4.18,MES,1
2024-11-07,W05,E03,30.627,t,222.3606,6810.17,正常,7.11,MES,1
2024-03-10,W02,E02,6937.122,m³,3.5263,24462.14,正常,7.38,MES,1
2025-05-31,W01,E05,3196.144,m³,0.2825,902.87,正常,22.31,MES,1
2025-03-07,W02,E04,169.554,m³,4.0848,692.6,正常,6.23,MES,1
2024-01-28,W03,E03,35.628,t,214.0782,7627.18,正常,-3.56,MES,1
2024-12-26,W04,E05,5815.309,m³,0.28,1628.19,正常,-0.82,MES,1
2025-09-19,W07,E01,9205.108,kWh,0.6465,5950.74,正常,18.67,MES,1
2025-01-23,W05,E01,22276.95,kWh,0.6858,15277.61,正常,-6.42,MES,1
2024-11-11,W05,E02,1066.577,m³,3.3991,3625.44,正常,9.76,MES,1
2024-08-03,W06,E05,3074.864,m³,0.2806,862.68,低负荷,25.06,MES,1
2025-09-13,W08,E05,931.889,m³,0.279,259.97,低负荷,22.08,MES,1
2025-09-06,W05,E01,17790.429,kWh,0.69,12274.54,低负荷,23.81,MES,1
2024-03-28,W02,E04,173.094,m³,4.0461,700.36,正常,8.57,MES,1
2024-10-09,W08,E01,4811.034,kWh,0.6624,3186.83,正常,16.68,MES,1
2025-05-23,W01,E04,267.225,m³,4.0913,1093.3,正常,22.04,MES,1
2025-05-21,W03,E01,24752.014,kWh,0.682,16881.04,正常,19.94,MES,1
2025-12-19,W04,E05,6073.988,m³,0.2812,1708.12,正常,-0.09,MES,1
2024-01-14,W01,E02,11445.057,m³,3.4245,39194.03,正常,-5.92,MES,1
2025-06-02,W05,E03,5.282,t,218.6659,1155.05,停产,26.43,MES,0
2025-03-08,W01,E02,10393.221,m³,3.4135,35477.75,正常,5.65,MES,1
2025-01-08,W03,E01,29203.007,kWh,0.6848,19762.42,正常,-6.83,MES,1
2024-08-30,W04,E01,22215.211,kWh,0.6752,14999.86,正常,26.45,MES,1
2025-12-05,W07,E02,23915.873,m³,3.4494,82495.97,正常,-1.18,MES,1
2025-08-21,W02,E01,48490.901,kWh,0.6664,32314.27,正常,27.3,MES,1
2024-09-22,W04,E05,1808.371,m³,0.2786,503.84,低负荷,21.9,MES,1
2024-04-04,W02,E01,30178.512,kWh,0.7071,21338.07,正常,17.52,MES,1
2025-10-27,W05,E01,20012.496,kWh,0.6808,13624.87,正常,12.71,MES,1
2024-12-17,W05,E01,24708.545,kWh,0.6859,16948.46,正常,-1.31,MES,1
2024-04-03,W07,E01,7536.6,kWh,0.6723,5067.17,正常,11.87,MES,1
2025-03-13,W03,E03,32.123,t,222.193,7137.47,正常,10.82,MES,1
2024-12-14,W04,E04,44.636,m³,4.0317,179.96,低负荷,1.01,MES,1
2024-10-25,W07,E01,8038.648,kWh,0.692,5562.99,正常,12.48,MES,1
2025-07-04,W02,E01,45412.223,kWh,0.6745,30631.09,正常,27.08,MES,1
2024-09-21,W04,E01,13402.65,kWh,0.6911,9261.94,低负荷,22.45,MES,1
2024-03-25,W05,E02,987.639,m³,3.3607,3319.15,正常,12.7,MES,1
2025-11-05,W07,E02,19473.07,m³,3.5489,69108.44,正常,7.06,MES,1
2025-08-15,W03,E01,28270.28,kWh,0.6565,18560.01,正常,26.88,MES,1
2024-07-25,W06,E01,15633.156,kWh,0.6845,10700.17,正常,26.13,MES,1
2024-03-16,W01,E02,11207.847,m³,3.5517,39807.41,正常,4.18,MES,1
2024-05-06,W03,E02,7313.917,m³,3.4344,25118.68,正常,19.38,MES,1
2024-11-11,W04,E05,5731.305,m³,0.2799,1604.31,正常,9.76,MES,1
2024-10-07,W05,E02,229.447,m³,3.4455,772.77,停产,11.35,MES,0
2024-03-11,W05,E03,26.583,t,217.8836,5792.1,正常,4.06,MES,1
2024-05-16,W07,E02,13243.012,m³,3.4273,45387.79,正常,18.49,MES,1
2025-06-07,W01,E02,7287.385,m³,3.4562,25186.92,正常,24.76,MES,1
2024-03-03,W05,E02,389.19,m³,3.453,1349.9,低负荷,8.11,MES,1
2025-02-20,W02,E01,39663.941,kWh,0.6835,27109.8,正常,-1.46,MES,1
2024-03-23,W01,E04,267.058,m³,4.0993,1070.18,正常,3.71,MES,1
2024-07-14,W05,E01,9616.771,kWh,0.697,6702.66,低负荷,27.51,MES,1
2025-08-14,W08,E05,1326.023,m³,0.2928,388.23,正常,29.01,MES,1
2025-10-15,W04,E01,19233.337,kWh,0.6892,13256.1,正常,16.19,MES,1
2025-01-22,W03,E01,33950.994,kWh,0.6734,22862.95,正常,-11.0,MES,1
2025-10-23,W05,E04,433.448,m³,4.1107,1781.78,正常,18.93,MES,1
2025-07-24,W05,E02,691.782,m³,3.4394,2379.35,正常,29.83,MES,1
2025-03-10,W01,E02,9870.967,m³,3.4056,33616.76,正常,4.99,MES,1
2024-11-26,W07,E02,18529.046,m³,3.5038,64921.17,正常,5.67,MES,1
2025-10-18,W07,E06,196.68,kg,7.9337,1560.41,正常,21.59,MES,1
2025-12-13,W01,E02,11389.897,m³,3.3477,38129.92,正常,-4.38,MES,1
2025-12-10,W03,E02,11898.141,m³,3.4218,40713.07,正常,-6.21,MES,1
2025-12-04,W07,E02,21203.288,m³,3.5301,74848.77,正常,0.95,MES,1
2025-02-21,W08,E05,1578.225,m³,0.2763,436.07,正常,-0.7,MES,1
2025-06-02,W04,E05,1219.44,m³,0.2834,345.58,停产,26.43,MES,0
2025-06-26,W05,E04,419.344,m³,4.0937,1716.68,正常,25.79,MES,1
2024-01-07,W02,E01,39560.76,kWh,0.683,27020.5,正常,-2.45,MES,1
2025-05-25,W01,E02,7973.404,m³,3.5719,28480.35,正常,24.55,MES,1
2024-08-08,W02,E03,38.595,t,221.5925,8552.4,正常,29.84,MES,1
2024-09-20,W08,E01,5710.279,kWh,0.6873,3924.89,正常,27.65,MES,1
2025-10-01,W04,E04,14.579,m³,4.1695,60.79,停产,9.97,MES,0
2025-03-03,W05,E03,28.652,t,216.2559,6196.11,正常,6.08,MES,1
2025-05-13,W07,E02,12961.529,m³,3.4163,44280.41,正常,21.69,MES,1
2024-11-30,W08,E05,961.701,m³,0.2816,270.86,低负荷,7.76,MES,1
2025-12-14,W01,E05,2800.519,m³,0.2768,775.13,正常,-2.69,MES,1
2024-02-15,W02,E04,156.024,m³,4.0696,634.95,正常,5.54,MES,1
2024-12-21,W03,E02,11688.099,m³,3.3592,39262.9,正常,-1.63,MES,1
2025-11-07,W05,E03,28.322,t,219.3296,6211.88,正常,8.66,MES,1
2025-03-11,W07,E02,17714.255,m³,3.4776,61602.69,正常,8.61,MES,1
2025-03-10,W07,E02,19585.416,m³,3.4279,67136.43,正常,4.99,MES,1
2025-11-14,W03,E01,28035.164,kWh,0.6817,19111.77,正常,7.92,MES,1
2024-12-25,W03,E01,31394.204,kWh,0.679,21317.74,正常,-3.3,MES,1
2025-10-01,W02,E03,40.996,t,217.3687,8911.22,正常,9.97,MES,1
2024-05-20,W05,E01,20697.038,kWh,0.6847,14170.39,正常,26.03,MES,1
2025-01-06,W04,E01,19576.123,kWh,0.6714,13143.41,正常,-6.05,MES,1
2025-08-04,W05,E04,420.539,m³,4.0594,1707.14,正常,26.21,MES,1
2024-09-12,W02,E02,4898.674,m³,3.4067,16688.47,正常,23.63,MES,1
2025-10-08,W07,E04,810.325,m³,4.0533,3284.45,正常,16.25,MES,1
2024-07-02,W05,E04,426.555,m³,4.125,1759.54,正常,30.39,MES,1
2024-11-24,W02,E03,48.285,t,222.5645,10746.54,正常,6.13,MES,1
2024-02-16,W01,E01,41108.591,kWh,0.7026,28882.15,正常,-1.73,MES,1
2025-07-05,W07,E01,9759.142,kWh,0.683,6665.66,正常,25.11,MES,1
2024-10-06,W05,E01,5458.676,kWh,0.6873,3751.71,停产,12.58,MES,0
2024-01-16,W02,E04,180.204,m³,4.0496,729.75,正常,-3.47,MES,1
2025-10-16,W01,E01,44373.212,kWh,0.6819,30259.78,正常,16.35,MES,1
2024-06-04,W08,E05,1414.374,m³,0.2767,391.38,正常,28.83,MES,1
2024-02-09,W04,E01,18759.306,kWh,0.6899,12941.72,正常,-7.92,MES,1
2025-10-03,W01,E05,3007.432,m³,0.2758,829.36,正常,16.14,MES,1
2024-07-08,W08,E01,6920.136,kWh,0.688,4761.16,正常,28.67,MES,1
2025-10-18,W05,E02,651.396,m³,3.477,2264.92,低负荷,21.59,MES,1
2024-02-13,W01,E04,229.694,m³,4.1018,942.15,正常,0.65,MES,1
2024-08-28,W07,E06,178.715,kg,7.8367,1400.54,正常,30.49,MES,1
2024-04-18,W01,E04,263.014,m³,4.0396,1062.47,正常,9.2,MES,1
2025-05-05,W05,E01,6255.97,kWh,0.6754,4225.51,停产,17.23,MES,0
2024-03-24,W04,E05,1921.839,m³,0.281,540.04,低负荷,8.1,MES,1
2025-05-25,W08,E01,1618.84,kWh,0.6987,1131.09,低负荷,24.55,MES,1
2024-09-06,W07,E02,14229.822,m³,3.497,49761.14,正常,23.41,MES,1
2025-05-25,W03,E01,25196.968,kWh,0.6974,17573.51,正常,24.55,MES,1
2025-01-16,W01,E05,3273.308,m³,0.2784,911.18,正常,1.26,MES,1
2025-10-17,W08,E01,5107.686,kWh,0.6677,3410.41,正常,17.97,MES,1
2025-07-15,W07,E04,987.445,m³,4.1373,4085.34,正常,29.2,MES,1
2025-03-30,W03,E01,24069.357,kWh,0.6659,16026.66,正常,8.97,MES,1
2024-03-12,W05,E02,1021.823,m³,3.5427,3619.98,正常,8.25,MES,1
2024-07-16,W07,E02,11647.809,m³,3.4758,40485.25,正常,25.51,MES,1
2024-04-12,W02,E02,5779.456,m³,3.4271,19806.57,正常,14.04,MES,1
2024-04-20,W08,E05,875.124,m³,0.2827,247.43,低负荷,13.84,MES,1
2025-06-30,W03,E02,6310.641,m³,3.5359,22313.77,正常,25.34,MES,1
2024-02-17,W06,E05,838.22,m³,0.2775,232.64,停产,-0.14,MES,0
2024-04-29,W02,E03,43.409,t,219.656,9535.1,正常,16.95,MES,1
2025-01-23,W02,E04,186.404,m³,4.0608,756.95,正常,-6.42,MES,1
2024-04-22,W01,E05,3148.665,m³,0.2802,882.19,正常,15.69,MES,1
2025-10-03,W04,E04,15.412,m³,4.1426,63.84,停产,16.14,MES,0
2024-04-03,W01,E01,41440.659,kWh,0.6791,28141.25,正常,11.87,MES,1
2024-05-18,W03,E02,7442.009,m³,3.6334,27039.87,正常,20.11,MES,1
2025-02-21,W07,E01,8965.167,kWh,0.6931,6213.58,正常,-0.7,MES,1
2024-09-07,W04,E05,4032.714,m³,0.279,1125.05,低负荷,22.08,MES,1
2024-12-17,W02,E03,53.064,t,221.3071,11743.48,正常,-1.31,MES,1
2025-11-19,W03,E01,27054.429,kWh,0.6952,18809.09,正常,4.88,MES,1
2025-08-27,W04,E05,5557.147,m³,0.2808,1560.58,正常,22.97,MES,1
2024-08-07,W04,E01,21304.821,kWh,0.6823,14642.93,正常,26.18,MES,1
2024-06-04,W07,E06,178.379,kg,7.803,1391.89,正常,28.83,MES,1
2025-01-05,W08,E05,421.702,m³,0.2823,119.07,低负荷,-1.47,MES,1
2025-02-19,W07,E06,184.756,kg,7.6356,1410.71,正常,0.92,MES,1
2025-05-08,W02,E04,197.225,m³,4.1991,828.17,正常,24.03,MES,1
2024-07-09,W01,E04,265.469,m³,3.955,1049.92,正常,26.48,MES,1
2025-06-17,W08,E05,1456.661,m³,0.2803,408.37,正常,24.64,MES,1
2024-08-08,W02,E01,45903.698,kWh,0.6729,30886.47,正常,29.84,MES,1
2024-10-22,W03,E03,29.335,t,216.6114,6354.19,正常,14.38,MES,1
2024-02-28,W07,E04,926.644,m³,4.0735,3774.64,正常,2.89,MES,1
2025-07-24,W01,E02,7340.181,m³,3.4147,25064.54,正常,29.83,MES,1
2024-02-29,W03,E03,33.188,t,225.5515,7485.69,正常,0.96,MES,1
2024-07-22,W07,E01,10604.602,kWh,0.6953,7373.44,正常,25.19,MES,1
2024-07-11,W04,E04,57.716,m³,4.1637,240.31,正常,25.89,MES,1
2025-09-27,W01,E05,3191.446,m³,0.2786,889.25,正常,22.54,MES,1
2024-01-29,W07,E04,890.595,m³,4.0697,3624.45,正常,-7.36,MES,1
2025-10-11,W02,E04,186.866,m³,4.0987,765.91,正常,15.23,MES,1
2025-04-09,W05,E04,445.771,m³,4.2018,1873.04,正常,12.52,MES,1
2025-07-04,W07,E01,10700.94,kWh,0.6705,7174.93,正常,27.08,MES,1
2024-07-04,W06,E01,14852.815,kWh,0.6885,10226.58,正常,28.07,MES,1
2024-07-24,W03,E01,30194.234,kWh,0.6832,20629.76,正常,25.62,MES,1
2025-04-24,W06,E05,3964.424,m³,0.2881,1142.23,正常,14.79,MES,1
2024-09-28,W01,E02,7779.92,m³,3.4433,26788.76,正常,23.63,MES,1
2025-04-02,W03,E01,24105.356,kWh,0.7009,16894.42,正常,12.01,MES,1
2024-04-14,W03,E02,7368.178,m³,3.4718,25581.02,正常,17.46,MES,1
2024-08-24,W05,E04,316.904,m³,4.0543,1284.83,低负荷,24.72,MES,1
2025-12-26,W07,E06,181.937,kg,7.804,1419.84,正常,-2.76,MES,1
2024-03-19,W05,E02,966.622,m³,3.4107,3296.84,正常,9.68,MES,1
2024-12-16,W05,E04,447.907,m³,4.0998,1799.68,正常,1.83,MES,1
2024-11-20,W07,E01,8213.377,kWh,0.6933,5694.69,正常,6.07,MES,1
2024-09-20,W08,E05,1339.695,m³,0.2793,374.12,正常,27.65,MES,1
2025-01-18,W01,E02,12721.783,m³,3.491,44411.64,正常,-7.86,MES,1
2024-06-24,W05,E01,24872.756,kWh,0.6837,17004.89,正常,21.03,MES,1
2024-05-10,W07,E06,172.487,kg,7.8351,1351.44,正常,22.0,MES,1
2024-08-15,W03,E03,24.526,t,222.023,5615.61,正常,26.52,MES,1
2025-01-23,W06,E05,4052.546,m³,0.2799,1134.25,正常,-6.42,MES,1
2024-06-27,W05,E03,20.314,t,219.4939,4458.72,正常,25.05,MES,1
2024-12-10,W03,E03,35.927,t,220.0888,7907.09,正常,2.37,MES,1
2024-04-14,W03,E03,26.422,t,219.4833,5799.23,正常,17.46,MES,1
2025-04-01,W04,E04,62.647,m³,4.1514,260.07,正常,16.43,MES,1
2024-02-05,W03,E01,28625.993,kWh,0.6677,19113.04,正常,-0.96,MES,1
2024-08-07,W03,E01,32656.435,kWh,0.6839,22332.15,正常,26.18,MES,1
2025-03-03,W02,E01,39134.966,kWh,0.6891,26968.82,正常,6.08,MES,1
2025-08-22,W03,E03,24.926,t,221.0176,5509.08,正常,26.57,MES,1
2024-04-02,W01,E04,252.939,m³,4.1098,1039.52,正常,17.53,MES,1
2025-05-24,W04,E04,43.563,m³,4.1324,180.02,低负荷,19.83,MES,1
2025-02-17,W03,E01,29945.376,kWh,0.7047,21103.1,正常,-2.01,MES,1
2024-02-29,W01,E05,3257.281,m³,0.281,915.19,正常,0.96,MES,1
2025-04-28,W02,E01,36788.631,kWh,0.6964,25618.86,正常,13.77,MES,1
2025-11-25,W01,E02,11508.457,m³,3.512,40418.03,正常,2.72,MES,1
2025-05-25,W05,E03,8.37,t,223.0952,1867.29,低负荷,24.55,MES,1
2024-05-21,W08,E05,1370.639,m³,0.2785,381.78,正常,20.43,MES,1
2024-10-27,W01,E05,3145.672,m³,0.2785,876.21,正常,18.93,MES,1
2024-10-17,W01,E05,3050.505,m³,0.2843,867.24,正常,11.64,MES,1
2024-09-26,W03,E02,7965.858,m³,3.3396,26602.92,正常,19.9,MES,1
2024-10-02,W02,E01,36484.092,kWh,0.6677,24361.68,正常,20.03,MES,1
2025-07-22,W05,E03,21.537,t,218.8654,4713.71,正常,24.82,MES,1
2024-04-15,W05,E02,795.546,m³,3.4224,2722.64,正常,15.74,MES,1
2024-11-19,W05,E02,1069.966,m³,3.4511,3692.6,正常,3.4,MES,1
2025-05-17,W07,E04,994.099,m³,4.0862,4062.11,正常,19.14,MES,1
2024-05-17,W03,E03,27.115,t,220.6114,5981.77,正常,21.07,MES,1
2024-04-29,W05,E03,25.9,t,217.4203,5631.18,正常,16.95,MES,1
2025-12-08,W02,E02,8697.127,m³,3.4133,29685.66,正常,-4.02,MES,1
2025-08-23,W06,E05,2911.17,m³,0.2865,833.93,低负荷,22.21,MES,1
2024-07-01,W06,E01,15265.274,kWh,0.6862,10475.05,正常,31.55,MES,1
2025-10-20,W05,E03,28.168,t,218.5678,6156.63,正常,16.29,MES,1
2025-08-07,W01,E05,3615.043,m³,0.2753,995.31,正常,24.86,MES,1
2024-11-22,W03,E03,33.777,t,212.3304,7171.91,正常,5.23,MES,1
2025-06-10,W06,E01,13606.609,kWh,0.6787,9234.18,正常,27.6,MES,1
2025-08-17,W07,E02,12749.564,m³,3.3406,42590.94,正常,25.08,MES,1
2024-12-06,W01,E01,44889.115,kWh,0.6754,30317.16,正常,-3.33,MES,1
2024-02-06,W03,E03,35.268,t,215.667,7606.19,正常,-2.27,MES,1
2025-12-18,W01,E04,287.19,m³,4.0279,1156.78,正常,-4.71,MES,1
2025-11-03,W02,E02,7434.937,m³,3.4794,25868.84,正常,2.97,MES,1
2024-05-07,W02,E02,5076.931,m³,3.5852,18201.92,正常,22.57,MES,1
2025-07-08,W01,E01,54154.144,kWh,0.6723,36410.52,正常,26.97,MES,1
2025-03-21,W03,E03,30.067,t,217.8427,6549.97,正常,3.92,MES,1
2025-09-18,W05,E01,22884.74,kWh,0.6715,15366.73,正常,19.95,MES,1
2024-03-31,W07,E01,8221.305,kWh,0.6871,5649.24,正常,7.04,MES,1
2025-05-10,W02,E03,37.618,t,214.4123,8065.85,正常,20.1,MES,1
2024-10-10,W01,E02,9200.762,m³,3.5417,32586.24,正常,17.02,MES,1
2024-06-01,W07,E01,9211.747,kWh,0.7012,6459.28,正常,24.16,MES,1
2025-08-13,W03,E03,25.36,t,223.1423,5658.91,正常,29.17,MES,1
2025-10-16,W07,E02,16253.56,m³,3.4694,56390.79,正常,16.35,MES,1
2024-10-14,W02,E04,190.855,m³,4.0599,774.85,正常,15.77,MES,1
2025-04-22,W03,E03,26.45,t,221.8918,5869.14,正常,9.86,MES,1
2025-12-04,W04,E04,65.633,m³,4.1018,268.89,正常,0.95,MES,1
2025-09-15,W04,E05,6096.342,m³,0.2721,1659.11,正常,28.25,MES,1
2025-09-19,W07,E02,14274.399,m³,3.5086,50083.78,正常,18.67,MES,1
2024-10-09,W01,E04,254.134,m³,4.1029,1042.69,正常,16.68,MES,1
2024-03-08,W06,E05,4554.449,m³,0.2825,1286.62,正常,7.71,MES,1
2024-09-24,W06,E05,4332.999,m³,0.2725,1180.9,正常,22.67,MES,1
2024-11-24,W01,E02,10406.991,m³,3.3982,35365.11,正常,6.13,MES,1
2024-10-18,W05,E02,889.431,m³,3.4996,3112.63,正常,16.26,MES,1
2025-10-31,W05,E04,439.813,m³,4.1119,1808.49,正常,9.71,MES,1
2025-06-11,W03,E03,26.522,t,216.466,5741.11,正常,26.27,MES,1
2025-03-05,W08,E05,1419.397,m³,0.2833,402.08,正常,4.27,MES,1
2024-10-20,W03,E02,8930.213,m³,3.4608,30905.94,正常,18.07,MES,1
2025-02-27,W03,E01,28982.25,kWh,0.6851,19854.69,正常,-3.56,MES,1
2025-07-10,W03,E03,24.754,t,222.135,5498.76,正常,25.56,MES,1
2024-09-19,W03,E02,7551.319,m³,3.5168,26556.34,正常,15.51,MES,1
2025-12-07,W03,E02,11611.498,m³,3.3576,38987.34,正常,-5.41,MES,1
2025-08-10,W01,E04,262.361,m³,4.2017,1102.37,正常,28.53,MES,1
2025-09-09,W05,E02,795.575,m³,3.4318,2730.28,正常,24.21,MES,1
2025-10-13,W04,E01,17235.074,kWh,0.6903,11896.65,正常,11.58,MES,1
2024-05-10,W03,E02,6798.272,m³,3.4504,23456.59,正常,22.0,MES,1
2025-09-06,W07,E01,9509.439,kWh,0.6768,6435.66,正常,23.81,MES,1
2025-06-13,W03,E02,6718.685,m³,3.3754,22678.42,正常,25.45,MES,1
2025-12-16,W05,E02,1282.251,m³,3.4672,4445.84,正常,-2.34,MES,1
2025-10-21,W07,E04,867.497,m³,4.058,3520.3,正常,8.05,MES,1
2024-08-29,W04,E04,61.537,m³,4.0836,251.29,正常,26.35,MES,1
2024-07-16,W02,E01,47714.955,kWh,0.6911,32977.65,正常,25.51,MES,1
2025-01-07,W01,E02,14071.825,m³,3.4887,49092.45,正常,-5.14,MES,1
2024-02-26,W03,E02,10397.205,m³,3.4531,35902.39,正常,2.6,MES,1
2025-03-12,W08,E05,1563.018,m³,0.2854,446.13,正常,3.76,MES,1
2025-06-03,W03,E03,24.455,t,218.8307,5351.59,正常,25.52,MES,1
2025-07-20,W07,E01,10808.379,kWh,0.6832,7384.37,正常,26.04,MES,1
2025-11-22,W07,E06,190.036,kg,7.7846,1479.35,正常,8.73,MES,1
2025-01-05,W04,E05,1827.848,m³,0.2826,516.49,低负荷,-1.47,MES,1
2024-11-29,W03,E02,10129.702,m³,3.4266,34710.51,正常,6.46,MES,1
2024-01-22,W06,E05,4425.176,m³,0.2813,1244.99,正常,-5.56,MES,1
2025-08-07,W07,E02,13425.458,m³,3.4231,45956.12,正常,24.86,MES,1
2025-07-10,W05,E03,21.59,t,215.1398,4644.9,正常,25.56,MES,1
2024-08-14,W03,E03,24.019,t,221.5644,5321.73,正常,27.96,MES,1
2024-02-07,W02,E01,38145.022,kWh,0.6831,26057.48,正常,-1.73,MES,1
2025-07-25,W02,E04,185.697,m³,4.0427,750.72,正常,28.47,MES,1
