record_date,workshop_code,workshop_name,energy_code,energy_name,consumption,unit,unit_price,cost,output_qty,output_unit,avg_temperature,record_status,data_source,year_month,fix_reason
2025-12-12,W01,熔炼车间,E02,天然气,12345.521,m³,3.4542,41530.15,300.142,吨,-1.45,正常,MES,2025-12,单价插补
2024-10-27,W03,热处理车间,E03,蒸汽,28.565,t,220.3605,6195.25,97.07,吨,18.93,正常,MES,2024-10,消耗量插补
2024-05-25,W06,装配车间,E01,电力,11211.0835,kWh,0.6937,7777.13,163.182,台,20.67,低负荷,MES,2024-05,消耗量插补
2025-05-04,W03,热处理车间,E01,电力,25175.649,kWh,0.6987,17512.38,92.322,吨,22.87,正常,MES,2025-05,消耗量插补
2025-08-27,W03,热处理车间,E01,电力度,31555.876,kWh,0.6776,21382.26,97.861,吨,22.97,正常,MES,2025-08,消耗量插补
2025-10-13,W04,机加工车间,E04,工业水,57.9555,m³,4.1151,249.26,4368.372,件,11.58,正常,MES,2025-10,消耗量插补
2025-03-28,W03,热处理车间,E01,电力,25014.002999999997,kWh,0.6557,16401.68,96.128,吨,6.83,正常,MES,2025-03,消耗量插补
2024-07-21,W02,轧制车间,E03,蒸汽,35.843,t,224.7708,7935.59,272.734,吨,29.23,正常,MES,2024-07,消耗量插补
2024-09-11,W06,装配车间,E05,压缩空气,4078.726,m³,0.285,1186.09,253.309,台,19.63,正常,MES,2024-09,消耗量插补
2024-05-24,W07,动力站,E04,工业水,887.686,m³,4.0627,3549.41,558.945,吨蒸汽,22.55,正常,MES,2024-05,消耗量插补
2024-10-27,W05,表面处理车间,E01,电力,19656.88,kWh,0.6963,13687.09,1406.585,平方米,18.93,低负荷,MES,2024-10,消耗量插补
2024-09-02,W06,装配车间,E01,电力,12296.726,kWh,0.6803,8493.85,258.36,台,15.86,正常,MES,2024-09,单价插补
2024-11-02,W01,熔炼车间,E05,压缩空气,3431.701,m³,0.2845,976.32,280.005,吨,3.42,正常,MES,2024-11,费用重算
2024-10-04,W01,熔炼车间,E04,工业水,254.3745,m³,4.0499,1018.89,240.252,吨,13.82,正常,MES,2024-10,消耗量插补
2025-02-14,W01,熔炼车间,E02,天然气,12313.059,m³,3.5293,43456.48,264.069,吨,-2.48,正常,MES,2025-02,消耗量插补
2024-10-22,W06,装配车间,E05,压缩空气,4346.083,m³,0.27945,1242.79,261.831,台,14.38,正常,MES,2024-10,单价插补
2024-09-25,W04,机加工车间,E01,电力,18407.0325,kWh,0.6666,11665.7,4240.58,件,18.08,正常,MES,2024-09,消耗量插补
2025-10-02,W06,装配车间,E05,压缩空气,4204.6165,m³,0.2787,1171.83,16.065,台,14.89,停产,MES,2025-10,消耗量插补
2025-07-12,W03,热处理车间,E02,天然气,6680.123,m³,3.4459,23019.04,107.993,吨,28.07,正常,MES,2025-07,费用重算
2024-02-09,W03,热处理车间,E03,蒸汽,35.184,t,221.10065,7685.03,99.411,吨,-7.92,正常,MES,2024-02,单价插补
2024-07-05,W03,热处理车间,E03,蒸气,22.763,t,217.5941,4953.19,95.012,吨,28.72,正常,MES,2024-07,负值取绝对值
2024-02-16,W02,轧制车间,E02,天然气,7700.379,m³,3.5093,27023.13,305.961,吨,-1.73,正常,MES,2024-02,负值取绝对值
2025-01-06,W06,装配车间,E05,压缩空气,4514.956,m³,0.2807,1254.4,252.68,台,-6.05,正常,MES,2025-01,单价插补
2025-10-12,W08,包装车间,E01,电力,1553.552,kWh,0.6649,1032.96,2327.385,件,16.11,低负荷,MES,2025-10,费用重算
2025-08-31,W07,动力站,E01,电,9482.798,kWh,0.679,6531.81,525.744,吨蒸汽,31.27,正常,MES,2025-08,单价插补
2025-02-26,W01,熔炼车间,E04,工业水,265.908,m³,4.0868,1133.2,254.277,吨,-2.87,正常,MES,2025-02,消耗量插补
2024-01-12,W04,机加工车间,E05,压缩空气,5428.921,m³,0.2848,1515.35,4325.624,件,-1.54,正常,MES,2024-01,消耗量插补
2025-07-20,W02,轧制车间,E01,电力,42568.34,kWh,0.67975,28978.48,324.214,吨,26.04,正常,MES,2025-07,单价插补
2024-05-20,W01,熔炼车间,E04,工业水,255.56,m³,4.0995,1053.12,247.549,吨,26.03,正常,MES,2024-05,单价插补
2025-09-13,W04,机加工车间,E04,工业水,36.706,m³,4.11345,152.48,2715.553,件,22.08,低负荷,MES,2025-09,单价插补
2025-10-03,W01,熔炼车间,E04,工业水,264.57050000000004,m³,4.1086,1087.01,259.607,吨,16.14,正常,MES,2025-10,消耗量插补
2024-01-30,W06,装配车间,E01,电力,13077.877,kWh,0.6861,8972.73,241.83,台,-5.45,正常,MES,2024-01,费用重算
2024-02-08,W03,热处理车间,E03,蒸汽,39.15,t,225.6856,8835.59,102.268,吨,-4.7,正常,MES,2024-02,费用重算
2025-02-21,W08,包装车间,E01,电力,6219.396,kWh,0.6484,4032.66,9744.229,件,-0.7,正常,MES,2025-02,费用重算
2024-01-26,W06,装配车间,E05,压缩空气,4153.112,m³,0.2825,1173.25,229.023,台,-13.2,正常,MES,2024-01,费用重算
2024-05-10,W01,熔炼车间,E05,压缩空气,3311.195,m³,0.2793,928.71,251.528,吨,22.0,正常,MES,2024-05,单价插补
2025-09-21,W08,包装车间,E01,电力,1593.069,kWh,0.67965,1080.89,2129.491,件,21.34,低负荷,MES,2025-09,单价插补
2024-08-21,W02,轧制车间,E03,蒸汽,36.891,t,219.9231,8029.97,338.079,吨,26.06,正常,MES,2024-08,单价插补
2025-05-06,W02,轧制车间,E02,天然气,5113.397,m³,3.476,17774.17,355.011,吨,23.52,正常,MES,2025-05,消耗量插补
2025-10-18,W01,熔炼车间,E05,压缩空气,3192.332,m³,0.2837,926.78,296.736,吨,21.59,正常,MES,2025-10,消耗量插补
2024-02-26,W05,表面处理车间,E02,天然气,1241.849,m³,3.4442500000000003,4208.69,6803.405,平方米,2.6,正常,MES,2024-02,单价插补
2024-09-01,W04,机加工车间,E01,电力,6896.063,kWh,0.6816,4700.13,811.424,件,19.93,低负荷,MES,2024-09,负值取绝对值
2024-11-25,W02,轧制车间,E01,电力,39422.129,kWh,0.6813,26473.63,313.557,吨,11.59,正常,MES,2024-11,消耗量插补
2024-07-19,W05,表面处理车间,E03,蒸汽,21.763,t,221.0796,4735.06,6609.325,平方米,29.56,正常,MES,2024-07,单价插补
2025-01-27,W03,热处理车间,E02,天然气,12293.8205,m³,3.5046,43513.34,100.69,吨,-5.85,正常,MES,2025-01,消耗量插补
2024-07-06,W06,装配车间,E05,压缩空气,2788.245,m³,0.2834,790.19,148.887,台,23.9,低负荷,MES,2024-07,费用重算
2024-04-03,W06,装配车间,E01,电力,11406.533,kWh,0.6722,7667.47,277.397,台,11.87,正常,MES,2024-04,费用重算
2024-01-08,W07,动力站,E06,柴油,177.08,kg,7.8498,1390.04,527.915,吨蒸汽,-6.6,正常,MES,2024-01,消耗量插补
2024-08-02,W01,熔炼车间,E02,天然气,7092.722,m³,3.4554,23844.21,257.505,吨,23.68,正常,MES,2024-08,单价插补
2024-07-28,W04,机加工车间,E05,压缩空气,5488.372,m³,0.2814,1544.43,874.557,件,30.11,低负荷,MES,2024-07,消耗量插补
2024-11-23,W01,熔炼车间,E01,电力,42973.098,kWh,0.6837,28997.26,236.456,吨,4.56,正常,MES,2024-11,消耗量插补
2024-05-24,W04,机加工车间,E04,工业水,59.098,m³,4.0995,243.06,4169.048,件,22.55,正常,MES,2024-05,单价插补
2024-06-18,W04,机加工车间,E05,压缩空气,5791.665,m³,0.27995000000000003,1609.08,4128.406,件,21.28,正常,MES,2024-06,单价插补
2024-04-17,W04,机加工车间,E05,压缩空气,5420.932,m³,0.2809,1522.74,4252.194,件,11.8,正常,MES,2024-04,消耗量插补
2025-07-06,W04,机加工车间,E04,工业水,23.356,m³,4.09545,95.85,,件,20.2,低负荷,MES,2025-07,单价插补
2024-08-02,W05,表面处理车间,E04,工业水,411.9465,m³,4.0163,1654.5,6497.38,平方米,23.68,正常,MES,2024-08,消耗量插补
2024-02-11,W07,动力站,E04,工业水,870.472,m³,4.1011,3590.56,468.827,吨蒸汽,-4.39,正常,MES,2024-02,单价插补
2024-02-29,W03,热处理车间,E02,天然气,11086.794,m³,3.4442500000000003,37334.18,98.006,吨,0.96,正常,MES,2024-02,单价插补
2024-06-15,W01,熔炼车间,E05,压缩空气,3228.385,m³,0.283,913.63,250.191,吨,30.5,正常,MES,2024-06,消耗量插补
2024-10-31,W02,轧制车间,E01,电力,34529.769,kWh,0.67975,23579.32,336.01,吨,9.97,正常,MES,2024-10,单价插补
2025-10-03,W01,熔炼车间,E01,电力,34739.128,kWh,0.6795,23375.63,259.607,吨,16.14,正常,MES,2025-10,单价插补
2025-03-08,W03,热处理车间,E02,天然气,9646.162,m³,3.4847,33613.98,96.919,吨,5.65,正常,MES,2025-03,消耗量插补
2025-05-28,W08,包装车间,E01,电力,4884.3825,kWh,0.6596,3221.74,10506.988,件,20.61,正常,MES,2025-05,消耗量插补
2024-12-29,W03,热处理车间,E02,天然气,11277.532,m³,3.4563,39164.99,99.131,吨,0.05,正常,MES,2024-12,单价插补
2025-02-03,W03,热处理车间,E02,天然气,11628.293,m³,3.3948,38316.49,97.71,吨,-4.65,正常,MES,2025-02,消耗量插补
2025-06-09,W06,装配车间,E01,电力,14169.227,kWh,0.67945,9783.9,289.992,台,26.15,正常,MES,2025-06,单价插补
2024-12-01,W05,表面处理车间,E01,电力度,25046.8275,kWh,0.6895,17269.79,1500.97,平方米,-2.07,低负荷,MES,2024-12,消耗量插补
2024-06-11,W02,轧制车间,E04,工业水,176.032,m³,4.0995,721.64,289.156,吨,23.31,正常,MES,2024-06,消耗量插补
2024-06-13,W07,动力站,E02,天然气,12492.891,m³,3.4539,44302.92,554.427,吨蒸汽,26.54,正常,MES,2024-06,消耗量插补
2024-01-23,W03,热处理车间,E02,天然气,12616.609,m³,3.3714,42535.64,102.133,吨,-3.47,正常,MES,2024-01,费用重算
2025-03-06,W05,表面处理车间,E03,蒸汽,27.238,t,220.2172,6009.44,7881.461,平方米,7.95,正常,MES,2025-03,单价插补
2024-12-21,W07,动力站,E01,电力,8818.59,kWh,0.6797,6093.47,523.814,吨蒸汽,-1.63,正常,MES,2024-12,单价插补
2024-10-31,W06,装配车间,E05,压缩空气,3963.078,m³,0.2768,1096.98,276.166,台,9.97,正常,MES,2024-10,消耗量插补
2025-11-14,W06,装配车间,E05,压缩空气,4224.191,m³,0.2752,1208.02,295.884,台,7.92,正常,MES,2025-11,消耗量插补
2025-06-05,W05,表面处理车间,E03,蒸汽,22.169,t,221.9552,4920.52,7943.355,平方米,23.51,正常,MES,2025-06,费用重算
2025-10-13,W07,动力站,E01,电,8215.4385,kWh,0.6837,5613.7,594.822,吨蒸汽,11.58,正常,MES,2025-10,消耗量插补
2024-12-07,W06,装配车间,E01,电力,12972.212,kWh,0.7081,9185.62,151.591,台,-1.02,低负荷,MES,2024-12,消耗量插补
2024-02-15,W06,装配车间,E01,电力,2596.883,kWh,0.6815,1734.41,16.503,台,5.54,停产,MES,2024-02,单价插补
2025-09-17,W04,机加工车间,E05,压缩空气,5801.693,m³,0.2949,1710.92,4774.616,件,22.13,正常,MES,2025-09,费用重算
2024-11-10,W07,动力站,E01,电力,8703.596,kWh,0.6908,6012.88,505.379,吨蒸汽,7.28,正常,MES,2024-11,负值取绝对值
2025-05-15,W02,轧制车间,E02,天然气,5541.24,m³,3.4321,19017.9,361.676,吨,22.84,正常,MES,2025-05,负值取绝对值
2025-11-21,W05,表面处理车间,E01,电力,24550.629,kWh,0.6802,16223.08,8535.762,平方米,1.18,正常,MES,2025-11,单价插补
2025-01-29,W05,表面处理车间,E02,天然气,1206.643,m³,3.4815,4200.93,406.285,平方米,-4.2,停产,MES,2025-01,消耗量插补
2024-09-08,W03,热处理车间,E01,电力,25642.675,kWh,0.6803,17647.23,96.366,吨,22.4,正常,MES,2024-09,单价插补
2025-10-19,W07,动力站,E02,天然气,15872.021,m³,3.4536,53664.21,552.207,吨蒸汽,13.2,正常,MES,2025-10,单价插补
2024-05-18,W02,轧制车间,E04,工业水,177.492,m³,4.0935,712.74,310.655,吨,20.11,正常,MES,2024-05,消耗量插补
2024-08-20,W05,表面处理车间,E03,蒸汽,22.083,t,222.6825,4917.5,6477.716,平方米,25.77,正常,MES,2024-08,费用重算
2024-07-01,W05,表面处理车间,E01,电力,26918.694,kWh,0.6809,18435.31,7809.224,平方米,31.55,正常,MES,2024-07,单价插补
2025-04-02,W02,轧制车间,E02,天然气,5733.446,m³,3.45085,19882.21,337.963,吨,12.01,正常,MES,2025-04,单价插补
2024-03-20,W05,表面处理车间,E01,电力,20922.398,kWh,0.696,14847.83,6833.732,平方米,10.47,正常,MES,2024-03,消耗量插补
2025-06-06,W03,热处理车间,E01,电力,31134.952,kWh,0.67945,21030.3,101.645,吨,31.22,正常,MES,2025-06,单价插补
2024-05-01,W07,动力站,E02,天然气,13623.712500000001,m³,3.4563,44996.86,512.289,吨蒸汽,19.25,正常,MES,2024-05,消耗量插补
2025-07-07,W04,机加工车间,E05,压缩空气,5903.903,m³,0.2806,1681.59,4758.941,件,28.27,正常,MES,2025-07,单价插补
2025-01-30,W02,轧制车间,E03,蒸汽,48.801,t,219.5843,10561.84,317.127,吨,-2.61,正常,MES,2025-01,单价插补
2025-12-30,W08,包装车间,E01,电力,5912.244,kWh,0.6815,4028.95,12140.857,件,-7.12,正常,MES,2025-12,负值取绝对值
2025-06-26,W01,熔炼车间,E05,压缩空气,3189.889,m³,0.2777,897.77,253.848,吨,25.79,正常,MES,2025-06,消耗量插补
2024-09-10,W01,熔炼车间,E02,天然气,7692.696,m³,3.4622,27586.0,274.653,吨,22.81,正常,MES,2024-09,消耗量插补
2025-02-26,W05,表面处理车间,E02,天然气,1191.621,m³,3.4953,4203.72,7181.918,平方米,-2.87,正常,MES,2025-02,消耗量插补
2024-06-25,W01,熔炼车间,E04,工业水,261.149,m³,4.1288,1112.52,282.706,吨,24.07,正常,MES,2024-06,消耗量插补
2025-01-18,W06,装配车间,E05,压缩空气,4002.881,m³,0.2731,1093.19,157.722,台,-7.86,低负荷,MES,2025-01,消耗量插补
2024-12-06,W05,表面处理车间,E04,工业水,398.294,m³,4.2285,1684.19,7571.58,平方米,-3.33,正常,MES,2024-12,费用重算
2024-01-10,W06,装配车间,E01,电力,13935.506,kWh,0.6803,9577.95,256.01,台,-4.15,正常,MES,2024-01,单价插补
2025-02-01,W04,机加工车间,E05,压缩空气,5498.589,m³,0.2758,1516.51,255.342,件,-0.41,停产,MES,2025-02,消耗量插补
2024-11-25,W05,表面处理,E03,蒸汽,28.32,t,216.9933,6186.9,7454.365,平方米,11.59,正常,MES,2024-11,消耗量插补
2024-03-27,W04,机加工车间,E04,工业水,58.217,m³,4.1775,243.2,4198.568,件,12.87,正常,MES,2024-03,费用重算
2025-10-22,W05,表面处理车间,E03,蒸汽,24.566499999999998,t,219.7475,5398.43,7071.388,平方米,16.31,正常,MES,2025-10,消耗量插补
2025-08-04,W05,表处车间,E03,蒸汽,22.704,t,220.10655,4992.29,7689.696,平方米,26.21,正常,MES,2025-08,单价插补
2025-12-15,W03,热处理车间,E02,天然气,11396.476,m³,3.4542,40705.27,113.254,吨,-2.22,正常,MES,2025-12,单价插补
2024-03-09,W05,表面处理车间,E01,电力,14646.931,kWh,0.6811,10081.64,4486.747,平方米,6.27,低负荷,MES,2024-03,单价插补
2024-11-27,W07,动力站,E01,电力,8666.812,kWh,0.6908,5987.03,546.19,吨蒸汽,5.26,正常,MES,2024-11,消耗量插补
2025-06-22,W01,熔炼车间,E04,工业水,237.872,m³,4.1031,979.07,253.974,吨,26.38,正常,MES,2025-06,单价插补
2025-07-20,W03,热处理车间,E03,蒸汽,22.003,t,216.8002,4770.25,93.338,吨,26.04,正常,MES,2025-07,费用重算
2024-03-09,W06,装配车间,E05,压缩空气,4084.7799999999997,m³,0.2814,1149.46,157.476,台,6.27,低负荷,MES,2024-03,消耗量插补
2025-11-03,W06,装配车间,E01,电力,12087.235,kWh,0.6847,8342.53,280.196,台,2.97,正常,MES,2025-11,消耗量插补
2024-10-09,W05,表面处理车间,E01,外购电,21681.876,kWh,0.67975,14818.83,7047.396,平方米,16.68,正常,MES,2024-10,单价插补
2025-07-20,W04,机加工车间,E04,工业水,21.593,m³,4.1551,89.72,904.981,件,26.04,低负荷,MES,2025-07,费用重算
2025-04-02,W01,熔炼车间,E01,电力,38836.914,kWh,0.6806,27303.98,267.788,吨,12.01,正常,MES,2025-04,单价插补
2024-04-26,W07,动力站,E06,柴油,178.675,kg,7.9859,1381.75,481.589,吨蒸汽,13.09,正常,MES,2024-04,消耗量插补
2025-02-23,W06,装配车间,E05,压缩空气,1360.142,m³,0.2805,382.28,60.341,台,5.04,低负荷,MES,2025-02,单价插补
2025-04-07,W05,表面处理车间,E03,蒸汽,23.321,t,222.5763,5190.7,7580.17,平方米,14.98,正常,MES,2025-04,消耗量插补
2025-05-17,W01,熔炼车间,E04,工业水,252.935,m³,4.1336,1045.53,268.093,吨,19.14,正常,MES,2025-05,负值取绝对值
2024-09-08,W06,装配车间,E05,压缩空气,1333.17,m³,0.2807,374.17,53.64,台,22.4,低负荷,MES,2024-09,负值取绝对值
2025-12-25,W01,熔炼车间,E04,工业水,266.9915,m³,4.1542,1114.78,289.836,吨,-6.85,正常,MES,2025-12,消耗量插补
2025-04-03,W04,机加工车间,E04,工业水,57.483,m³,4.0945,243.93,4220.828,件,17.71,正常,MES,2025-04,单价插补
2025-05-07,W01,熔炼车间,E02,天然气,8103.82,m³,3.4496,27622.03,274.85,吨,19.9,正常,MES,2025-05,单价插补
2024-05-18,W03,热处理车间,E03,蒸汽,25.6965,t,221.5507,5693.08,96.648,吨,20.11,正常,MES,2024-05,消耗量插补
2025-05-23,W06,装配车间,E01,电力,10990.422,kWh,0.6952,7640.54,280.361,台,22.04,正常,MES,2025-05,消耗量插补
2024-12-30,W01,熔炼车间,E04,工业水,259.76,m³,4.0998,1069.98,303.24,吨,-0.5,正常,MES,2024-12,单价插补
2024-03-13,W03,热处理车间,E02,天然气,9607.568,m³,3.4865,33496.79,91.789,吨,1.78,正常,MES,2024-03,费用重算
2025-09-08,W04,机加工车间,E05,压缩空气,5610.534,m³,0.2825,1534.21,4614.383,件,13.22,正常,MES,2025-09,消耗量插补
2025-03-17,W07,动力站,E01,电力,8249.0,kWh,0.677,5584.57,571.958,吨蒸汽,1.64,正常,MES,2025-03,消耗量插补
2024-10-01,W01,熔炼车间,E05,压缩空气,3175.196,m³,0.2823,896.36,238.164,吨,15.24,正常,MES,2024-10,消耗量插补
2024-06-21,W04,机加工车间,E01,电力,18820.34,kWh,0.6788,12606.3,4326.646,件,24.18,正常,MES,2024-06,单价插补
2025-05-23,W05,表面处理车间,E04,工业水,413.2795,m³,4.0075,1654.3,8076.812,平方米,22.04,正常,MES,2025-05,消耗量插补
2024-09-09,W05,表面处理车间,E01,电力,21413.346,kWh,0.6803,14515.32,6993.34,平方米,23.32,正常,MES,2024-09,单价插补
2025-08-16,W08,包装车间,E05,压缩空气,889.714,m³,0.2804,246.96,5960.635,件,24.99,低负荷,MES,2025-08,单价插补
2024-03-03,W04,机加工车间,E04,工业水,58.147999999999996,m³,4.1565,241.69,864.402,件,8.11,低负荷,MES,2024-03,消耗量插补
2024-10-23,W06,装配车间,E01,电力,10637.5625,kWh,0.683,7402.1,280.334,台,12.8,正常,MES,2024-10,消耗量插补
2024-06-28,W07,动力站,E06,柴油,181.085,kg,7.8747,1433.2,541.491,吨蒸汽,25.86,正常,MES,2024-06,单价插补
2024-01-16,W04,机加工车间,E01,电力,20224.2155,kWh,0.6551,13095.77,4079.59,件,-3.47,正常,MES,2024-01,消耗量插补
2025-04-14,W02,轧制车间,E01,电力,36971.507,kWh,0.6806,25488.42,343.657,吨,12.64,正常,MES,2025-04,单价插补
2024-08-12,W07,动力站,E04,工业水,867.194,m³,4.1039,3578.94,493.622,吨蒸汽,21.0,正常,MES,2024-08,单价插补
2025-02-12,W02,轧制车间,E03,蒸汽,51.242,t,223.9575,11921.23,363.525,吨,-2.62,正常,MES,2025-02,消耗量插补
2024-10-25,W02,轧制车间,E02,天然气,5810.216,m³,3.4455,20300.42,346.817,吨,12.48,正常,MES,2024-10,单价插补
2025-07-19,W02,轧制车间,E02,天然气,4534.847,m³,3.5498,16097.8,342.939,吨,28.9,正常,MES,2025-07,费用重算
2025-03-30,W02,轧制车间,E03,蒸汽,45.692499999999995,t,218.236,9875.26,314.99,吨,8.97,正常,MES,2025-03,消耗量插补
2025-09-07,W02,轧制车间,E02,天然气,5181.509,m³,3.4454,17666.6,315.559,吨,21.69,正常,MES,2025-09,单价插补
2024-01-15,W01,熔炼车间,E02,天然气,12616.218,m³,3.45115,43568.35,252.585,吨,-5.32,正常,MES,2024-01,单价插补
2025-05-13,W06,装配车间,E01,电力,10990.422,kWh,0.6631,7287.75,288.275,台,21.69,正常,MES,2025-05,消耗量插补
2025-01-27,W07,动力站,E06,柴油,193.166,kg,7.9956,1544.48,562.069,吨蒸汽,-5.85,正常,MES,2025-01,费用重算
2024-06-18,W03,热处理车间,E02,天然气,6575.13,m³,3.4395,23159.32,105.854,吨,21.28,正常,MES,2024-06,单价插补
2024-05-22,W01,熔炼车间,E02,天然气,8305.293,m³,3.4212,28414.07,264.326,吨,23.35,正常,MES,2024-05,费用重算
2025-04-03,W01,熔炼车间,E04,工业水,249.298,m³,4.0945,1028.07,291.444,吨,17.71,正常,MES,2025-04,单价插补
2024-05-21,W01,熔炼车间,E02,天然气,6984.913,m³,3.4496,23435.73,265.508,吨,20.43,正常,MES,2024-05,单价插补
2024-12-30,W05,表面处理车间,E04,工业水,447.645,m³,4.0998,1769.38,7015.636,平方米,-0.5,正常,MES,2024-12,单价插补
2024-03-27,W06,装配车间,E01,电力,10759.254,kWh,0.6811,7421.78,286.566,台,12.87,正常,MES,2024-03,单价插补
2024-09-15,W07,动力站,E06,柴油,178.95,kg,7.6007,1344.76,490.961,吨蒸汽,16.19,正常,MES,2024-09,消耗量插补
2025-01-24,W06,装配车间,E05,压缩空气,4002.881,m³,0.2809,1124.41,282.7,台,-7.8,正常,MES,2025-01,消耗量插补
2024-11-06,W05,表面处理车间,E04,工业水,445.881,m³,4.0964,1852.59,6868.936,平方米,2.24,正常,MES,2024-11,单价插补
2024-04-16,W02,轧制车间,E03,蒸汽,40.097,t,220.6572,9056.17,334.496,吨,17.95,正常,MES,2024-04,消耗量插补
2024-08-27,W05,表面处理车间,E02,天然气,679.439,m³,3.4464,2341.62,6841.563,平方米,28.72,正常,MES,2024-08,消耗量插补
2024-10-19,W03,热处理车间,E02,天然气,7841.343,m³,3.4455,27241.54,83.643,吨,15.47,正常,MES,2024-10,单价插补
2024-05-08,W06,装配车间,E01,电力,11211.0835,kWh,0.6905,7489.82,270.044,台,19.54,正常,MES,2024-05,消耗量插补
2024-10-30,W06,装配车间,E05,压缩空气,4154.528,m³,0.27945,1183.69,266.913,台,14.88,正常,MES,2024-10,单价插补
2024-10-21,W03,热处理车间,E01,电力,25692.833,kWh,0.6911,17755.51,93.354,吨,11.69,正常,MES,2024-10,负值取绝对值
2025-02-08,W03,热处理车间,E01,电力度,28508.67,kWh,0.6857,19548.4,102.868,吨,-4.03,正常,MES,2025-02,费用重算
2025-07-08,W08,包装车间,E05,压缩风,1379.685,m³,0.2855,393.9,10578.552,件,26.97,正常,MES,2025-07,消耗量插补
2025-05-05,W02,轧制车间,E03,蒸汽,32.897,t,224.7898,7394.91,292.449,吨,17.23,正常,MES,2025-05,费用重算
