年月,能源,单位,消耗量,实际均价,参考单价,偏离_pct
2024-12,天然气,m³,1760118.63,3.4537,3.4500,0.11
2025-01,天然气,m³,1780198.74,3.4569,3.4500,0.20
2025-02,天然气,m³,1540778.36,3.4477,3.4500,-0.07
2025-03,天然气,m³,1432452.51,3.4489,3.4500,-0.03
2025-04,天然气,m³,1159386.41,3.4537,3.4500,0.11
2025-05,天然气,m³,1061250.22,3.4503,3.4500,0.01
2025-06,天然气,m³,959733.48,3.4460,3.4500,-0.11
2025-07,天然气,m³,972211.97,3.4536,3.4500,0.10
2025-08,天然气,m³,999340.11,3.4551,3.4500,0.15
2025-09,天然气,m³,1046036.86,3.4438,3.4500,-0.18
2025-10,天然气,m³,1224064.77,3.4536,3.4500,0.11
2025-11,天然气,m³,1472515.28,3.4504,3.4500,0.01
2025-12,天然气,m³,1781920.68,3.4513,3.4500,0.04
2024-01,工业水,m³,54190.71,4.0849,4.1000,-0.37
2024-02,工业水,m³,47676.91,4.0963,4.1000,-0.09
2024-03,工业水,m³,53136.34,4.0981,4.1000,-0.05
2024-04,工业水,m³,51799.01,4.0873,4.1000,-0.31
2024-05,工业水,m³,52746.81,4.0921,4.1000,-0.19
2024-06,工业水,m³,51441.51,4.0999,4.1000,0.00
2024-07,工业水,m³,54519.27,4.1094,4.1000,0.23
2024-08,工业水,m³,54273.23,4.1089,4.1000,0.22
2024-09,工业水,m³,51119.25,4.1033,4.1000,0.08
2024-10,工业水,m³,52489.12,4.1118,4.1000,0.29
2024-11,工业水,m³,53048.95,4.1000,4.1000,0.00
2024-12,工业水,m³,54773.56,4.1020,4.1000,0.05
2025-01,工业水,m³,53322.96,4.1012,4.1000,0.03
2025-02,工业水,m³,47683.86,4.0993,4.1000,-0.02
2025-03,工业水,m³,54987.08,4.0957,4.1000,-0.11
2025-04,工业水,m³,52380.79,4.0994,4.1000,-0.01
2025-05,工业水,m³,53378.65,4.1069,4.1000,0.17
2025-06,工业水,m³,51457.37,4.1108,4.1000,0.26
2025-07,工业水,m³,56154.28,4.1003,4.1000,0.01
2025-08,工业水,m³,55130.75,4.0990,4.1000,-0.02
2025-09,工业水,m³,53450.08,4.1113,4.1000,0.27
2025-10,工业水,m³,53369.92,4.0923,4.1000,-0.19
2025-11,工业水,m³,53311.84,4.1050,4.1000,0.12
2025-12,工业水,m³,56186.13,4.1049,4.1000,0.12
2024-01,柴油,kg,5530.52,7.8954,7.8500,0.58
2024-02,柴油,kg,5097.09,7.8956,7.8500,0.58
2024-03,柴油,kg,5558.19,7.8551,7.8500,0.06
2024-04,柴油,kg,5391.96,7.8656,7.8500,0.20
2024-05,柴油,kg,5548.70,7.8659,7.8500,0.20
2024-06,柴油,kg,5363.44,7.8615,7.8500,0.15
2024-07,柴油,kg,5639.10,7.8391,7.8500,-0.14
2024-08,柴油,kg,5555.84,7.8694,7.8500,0.25
2024-09,柴油,kg,5383.44,7.8972,7.8500,0.60
2024-10,柴油,kg,5555.02,7.8798,7.8500,0.38
2024-11,柴油,kg,5418.25,7.8136,7.8500,-0.46
2024-12,柴油,kg,5587.52,7.8125,7.8500,-0.48
2025-01,柴油,kg,5616.84,7.8593,7.8500,0.12
2025-02,柴油,kg,5035.67,7.8090,7.8500,-0.52
2025-03,柴油,kg,5593.27,7.8435,7.8500,-0.08
2025-04,柴油,kg,5468.12,7.8583,7.8500,0.11
2025-05,柴油,kg,5640.03,7.8646,7.8500,0.19
2025-06,柴油,kg,5511.77,7.8197,7.8500,-0.39
2025-07,柴油,kg,5511.10,7.8500,7.8500,0.00
2025-08,柴油,kg,5731.02,7.8481,7.8500,-0.02
2025-09,柴油,kg,5545.50,7.8790,7.8500,0.37
2025-10,柴油,kg,5651.90,7.8436,7.8500,-0.08
2025-11,柴油,kg,5534.85,7.8408,7.8500,-0.12
2025-12,柴油,kg,5674.75,7.8237,7.8500,-0.34
2024-01,电力,kWh,5551770.33,0.6798,0.6800,-0.03
2024-02,电力,kWh,4597963.88,0.6803,0.6800,0.04
2024-03,电力,kWh,4908829.90,0.6815,0.6800,0.23
2024-04,电力,kWh,4476819.88,0.6794,0.6800,-0.09
2024-05,电力,kWh,4715346.86,0.6800,0.6800,0.00
2024-06,电力,kWh,5304780.96,0.6798,0.6800,-0.02
2024-07,电力,kWh,6182431.12,0.6799,0.6800,-0.02
2024-08,电力,kWh,6029492.36,0.6792,0.6800,-0.11
2024-09,电力,kWh,4994440.99,0.6806,0.6800,0.08
2024-10,电力,kWh,4588717.18,0.6795,0.6800,-0.08
2024-11,电力,kWh,5042162.73,0.6808,0.6800,0.12
2024-12,电力,kWh,5800631.92,0.6805,0.6800,0.07
2025-01,电力,kWh,5437895.14,0.6790,0.6800,-0.15
2025-02,电力,kWh,4781150.20,0.6806,0.6800,0.09
2025-03,电力,kWh,4973518.35,0.6795,0.6800,-0.07
2025-04,电力,kWh,4572718.52,0.6803,0.6800,0.05
2025-05,电力,kWh,4718180.31,0.6805,0.6800,0.08
2025-06,电力,kWh,5430128.47,0.6808,0.6800,0.11
2025-07,电力,kWh,6261771.68,0.6799,0.6800,-0.01
2025-08,电力,kWh,6109557.23,0.6791,0.6800,-0.13
2025-09,电力,kWh,5230260.22,0.6796,0.6800,-0.06
2025-10,电力,kWh,4617627.22,0.6789,0.6800,-0.16
2025-11,电力,kWh,5119241.33,0.6794,0.6800,-0.09
2025-12,电力,kWh,5890956.75,0.6794,0.6800,-0.08
2024-01,蒸汽,t,3606.05,220.0504,220.0000,0.02
2024-02,蒸汽,t,3114.18,221.1005,220.0000,0.50
2024-03,蒸汽,t,3106.91,219.9375,220.0000,-0.03
2024-04,蒸汽,t,2616.29,220.3073,220.0000,0.14
2024-05,蒸汽,t,2477.97,219.4574,220.0000,-0.25
2024-06,蒸汽,t,2312.41,220.5669,220.0000,0.26
2024-07,蒸汽,t,2403.43,220.9094,220.0000,0.41
2024-08,蒸汽,t,2486.69,220.1550,220.0000,0.07
2024-09,蒸汽,t,2502.89,220.6906,220.0000,0.31
2024-10,蒸汽,t,2724.92,219.8127,220.0000,-0.09
2024-11,蒸汽,t,3225.12,219.6848,220.0000,-0.14
2024-12,蒸汽,t,3582.58,220.1943,220.0000,0.09
2025-01,蒸汽,t,3582.44,219.7220,220.0000,-0.13
2025-02,蒸汽,t,3152.53,220.3232,220.0000,0.15
2025-03,蒸汽,t,3172.66,220.1442,220.0000,0.07
2025-04,蒸汽,t,2640.63,219.9981,220.0000,0.00
2025-05,蒸汽,t,2531.92,220.3577,220.0000,0.16
2025-06,蒸汽,t,2393.90,219.7614,220.0000,-0.11
2025-07,蒸汽,t,2460.14,219.9379,220.0000,-0.03
2025-08,蒸汽,t,2503.20,220.2257,220.0000,0.10
2025-09,蒸汽,t,2613.63,219.3392,220.0000,-0.30
2025-10,蒸汽,t,2790.94,220.2820,220.0000,0.13
2025-11,蒸汽,t,3248.79,219.9947,220.0000,0.00
2025-12,蒸汽,t,3695.14,219.3785,220.0000,-0.28
