record_date,workshop_code,workshop_name,energy_code,energy_name,consumption,unit,unit_price,cost,output_qty,output_unit,avg_temperature,record_status,data_source
2024.06.10,W01,熔炼车间,E04,工业水,236.941,m³,4.1505,983.43,236.972,吨,28.09,正常,MES
2024-05-21,W04,机加工车间,E04,工业水,63.791,m³,4.0722,259.77,4194.789,件,20.43,正常,MES
2024-05-20,W07,动力站,E06,柴油,172.966,kg,7.93,1371.62,530.436,吨蒸汽,26.03,正常,MES
2025-11-29,W01,熔炼车间,E04,工业水,258.187,m³,4.0192,1037.7,261.783,吨,8.16,正常,MES
2025-02-18,W05,表面处理车间,E04,工业水,425.883,m³,4.0245,1713.98,7476.51,平方米,1.59,正常,MES
2025-07-17,W08,包装车间,E01,电力,6379.236,kWh,0.686,4376.44,10265.285,件,25.33,正常,MES
2024-10-30,W06,装配车间,E01,电力,11413.87,kWh,0.6713,7662.58,266.913,台,14.88,正常,MES
2025-12-23,W03,热处理车间,E02,天燃气,12797.197,m³,3.5414,45320.32,115.299,吨,0.8,正常,MES
2024-06-10,W02,轧制车间,,天然气,4399.341,立方米,3.4683,15258.03,275.556,吨,28.09,正常,MES
2024-11-03,W08,包装车间,E05,压缩空气,437.098,m³,0.2832,123.8,2036.044,件,1.52,低负荷,MES
2024-08-31,W02,轧制车间,E03,蒸汽,34.126,t,215.7592,7363.08,281.473,吨,25.51,正常,MES
2025-07-25,W04,机加工车间,E01,电力,25019.491,kWh,0.6817,17055.43,4467.136,件,28.47,正常,MES
2025-05-04,W02,轧制车间,E02,天燃气,4586.89,m³,3.5292,16187.83,,吨,22.87,正常,MES
2024-07-20,W06,装配车间,E01,外购电,10000.778,kWh,0.6921,6921.48,162.847,台,26.83,低负荷,MES
2025-03-08,W01,熔炼车间,E01,电力,43086.228,KWH,0.6651,28658.38,284.173,吨,5.65,正常,MES
2025-12-09,W02,轧制车间,E01,电力,48723.098,kWh,0.6733,32806.58,330.976,吨,-3.52,正常,MES
2025-06-15,W07,动力站,E04,工业水,915.125,m³,4.183,3827.97,512.266,吨蒸汽,24.21,正常,MES
2025-01-04,W08,包装车间,E05,压缩空气,893.4,m³,0.275,245.69,6915.198,件,-4.7,低负荷,MES
2025-02-06,W07,动力站,E06,柴油,196.313,kg,7.7666,1524.7,507.365,吨蒸汽,-3.16,正常,MES
2025-04-12,W02,轧制车间,E02,天然气,5754.714,m³,3.548,20417.61,305.82,吨,14.88,正常,MES
2024-09-17,W03,热处理车间,E01,电力,23966.885,kWh,0.6537,15666.99,85.782,吨,21.27,正常,MES
2025-11-25,W01,熔炼车间,E05,压缩空气,2944.431,m³,0.2779,818.12,267.368,吨,2.72,正常,MES
2025-05-22,W02,轧制车间,E03,蒸汽,38.249,t,212.4401,8125.55,356.405,吨,19.17,正常,MES
2025-09-27,W01,熔炼车间,E02,天然气,8064.708,m³,3.3771,27235.29,270.64,吨,22.54,正常,MES
2025-03-29,W01,熔炼车间,E02,天然气,10818.869,m³,3.4949,37810.57,280.505,吨,5.68,正常,MES
2024-02-18,W06,装配车间,E01,电力,4083.437,kWh,0.6824,2786.45,53.733,台,-4.68,低负荷,MES
2025-09-12,W08,包装车间,,压缩空气,1492.563,m³,0.2747,410.03,10421.197,件,25.67,正常,MES
2024-02-08,W02,轧制车间,E01,电力,37665.213,kWh,0.6623,24946.7,307.85,吨,-4.7,正常,MES
2024-01-08,W04,机加工车间,E05,压缩空气,5803.302,m³,0.2803,1626.45,4120.857,件,-6.6,正常,MES
2024/12/05,W07,动力站,E01,电力,10530.121,kWh,0.6834,7196.81,543.42,吨蒸汽,-3.84,正常,MES
2024-06-11,W05,表面处理车间,E04,工业水,422.918,m3,3.9692,1678.65,6571.418,平方米,23.31,正常,MES
2025年04月23日,W07,动力站,E04,工业水,1049.425,m³,4.1539,4359.25,558.507,吨蒸汽,15.46,正常,MES
2024-09-27,W01,熔炼车间,E05,压缩空气,3508.638,m³,0.2764,969.81,303.12,吨,19.57,正常,MES
2024-06-02 00:00:00,W02,轧制车间,E04,工业水,167.786,m³,4.1445,695.39,289.48,吨,25.87,正常,MES
2025-04-09,W05,表处车间,,电力,21476.33,kWh,0.6982,14995.02,7757.104,平方米,12.52,正常,MES
2025-07-05,W01,熔炼车间,E02,天然气,6892.063,m³,3.4373,23689.8,257.259,吨,25.11,正常,MES
2024-01-28,W02,轧制车间,E01,电力,39107.598,kWh,0.6705,26219.74,299.849,吨,-3.56,正常,MES
2024-05-25,W05,表面处理车间,E03,蒸汽,16.262,t,221.9857,3609.93,4160.796,平方米,20.67,低负荷,MES
2024-10-08,W07,动力站,E01,电力,8383.559,kWh,0.6711,5626.27,505.769,吨蒸汽,15.09,正常,MES
2024-01-03,W01,熔炼车间,E05,压缩空气,3430.146,m³,0.2818,966.66,252.322,吨,-6.16,正常,MES
2025-08-02,W02,轧制车间,E04,工业水,185.774,吨,4.097,761.12,327.112,吨,25.78,正常,MES
2025-09-13,W02,轧制车间,E03,蒸汽,36.105,t,214.1589,7732.25,353.546,吨,22.08,正常,MES
2025-04-29,W02,轧制车间,E03,蒸汽,40.647,t,224.7566,9135.65,337.088,吨,19.74,正常,MES
2024-02-04,W04,机加工车间,E01,电力,7424.29,kw·h,0.6904,5125.58,746.37,件,1.63,低负荷,MES
2025-12-26 00:00:00,W04,机加工车间,E05,压缩空气,5715.674,m³,0.2827,1616.02,4562.398,件,-2.76,正常,MES
2025-04-18,W03,热处理车间,E03,蒸汽,26.376,t,222.0119,6643.87,94.908,吨,18.14,正常,MES
2024.01.23,W03,热处理车间,E01,电力,29252.527,kWh,0.6815,19936.59,102.133,吨,-3.47,正常,MES
2025-12-20,W02,轧制车间,E04,工业水,194.936,m³,4.1999,818.71,359.003,吨,1.18,正常,MES
2025-08-29,W05,表面处理车间,,工业水,414.389,m³,4.1674,1726.91,7066.225,平方米,29.89,正常,MES
2024-08-20,W02,轧制车间,E02,天然气,4664.152,立方米,3.417,15937.63,344.754,吨,25.77,正常,MES
2024-02-16,W01,熔炼车间,E02,天然气,10962.804,m³,3.3624,36860.8,223.146,吨,-1.73,正常,MES
2024-11-29,W07,动力站,E01,电力,8704.771,kWh,0.6816,5933.22,561.785,吨蒸汽,6.46,正常,MES
2024-03-16,W07,动力站,E02,天然气,17340.094,m3,3.4444,59726.75,550.171,吨蒸汽,4.18,正常,MES
2024-11-07,W05,表面处理车间,E03,蒸汽,30.627,t,222.3606,6810.17,6444.895,平方米,7.11,正常,MES
2024/03/10,W02,轧制车间,E02,天然气,6937.122,m³,3.5263,24462.14,332.381,吨,7.38,正常,MES
2025-05-31,W01,熔炼车间,E05,压缩空气,3196.144,m³,0.2825,902.87,265.934,吨,22.31,正常,MES
2025-03-07,W02,轧制车间,E04,工业水,169.554,m³,4.0848,692.6,335.319,吨,6.23,正常,MES
2024-01-28,W03,热处理车间,E03,蒸汽,35.628,t,214.0782,7627.18,88.75,吨,-3.56,正常,MES
2024-12-26,W04,机加工车间,E05,压缩空气,5815.309,m³,0.28,1628.19,4013.212,件,-0.82,正常,MES
2025-09-19,W07,动力站,E01,电力,9205.108,kWh,0.6465,5950.74,545.185,吨蒸汽,18.67,正常,MES
2025-01-23,W05,表面处理车间,E01,电力,22276.95,kWh,0.6858,15277.61,7014.11,平方米,-6.42,正常,MES
2024-11-11,W05,表面处理车间,E02,天燃气,1066.577,m³,3.3991,3625.44,7129.723,平方米,9.76,正常,MES
2024-08-03 00:00:00,W06,装配车间,E05,压缩空气,3074.864,m³,0.2806,862.68,162.151,台,25.06,低负荷,MES
2025-09-13,W08,包装车间,E05,压缩空气,931.889,m³,0.279,259.97,6088.301,件,22.08,低负荷,MES
2025-09-06,W05,表面处理车间,E01,电力,17790.429,kWh,0.69,12274.54,4843.643,平方米,23.81,低负荷,MES
2024-03-28 00:00:00,W02,轧制车间,E04,工业水,173.094,m³,4.0461,700.36,282.375,吨,8.57,正常,MES
2024-10-09,W08,包装车间,E01,电力,,kWh,0.6624,3536.46,10013.099,件,16.68,正常,MES
2025-05-23,W01,熔炼车间,E04,工业水,267.225,m³,4.0913,1093.3,273.831,吨,22.04,正常,MES
2025-05-21,W03,热处理车间,E01,电力,24752.014,kWh,0.682,16881.04,95.052,吨,19.94,正常,MES
2025-12-19,W04,机加工车间,E05,压缩空气,6073.988,m³,0.2812,1708.12,4937.408,件,-0.09,正常,MES
2024-01-14,W01,熔炼车间,E02,天然气,11445.057,m³,3.4245,39194.03,260.855,吨,-5.92,正常,MES
2025-06-02,W05,表面处理车间,E03,蒸汽,5.282,t,218.6659,1155.05,493.957,平方米,26.43,停产,MES
2025-03-08,W01,熔炼车间,E02,天然气,10393.221,m³,3.4135,35477.75,284.173,吨,5.65,正常,MES
2025-01-08,W03,热处理车间,E01,电力,,kWh,0.6848,19762.42,101.132,吨,-6.83,正常,MES
2024-08-30,W04,机加工车间,E01,电力,22215.211,kWh,0.6752,14999.86,4137.408,件,26.45,正常,MES
2025-12-05,W07,动力站,E02,天然气,23915.873,m³,3.4494,82495.97,538.218,吨蒸汽,-1.18,正常,MES
2025-08-21,W02,轧制车间,E01,电力度,48490.901,kWh,0.6664,32314.27,361.285,吨,27.3,正常,MES
2024年09月22日,W04,机加工车间,E05,压缩空气,1808.371,m³,0.2786,503.84,,件,21.9,低负荷,MES
2024-04-04,W02,轧制车间,E01,电力,30178.512,kWh,0.7071,21338.07,285.378,吨,17.52,正常,MES
2025-10-27,W05,表面处理车间,E01,电力,20012.496,kWh,0.6808,13624.87,8326.065,平方米,12.71,正常,MES
2024-12-17,W05,表面处理车间,E01,电力,24708.545,kWh,0.6859,16948.46,7529.941,平方米,-1.31,正常,MES
2024-04-03,W07,动力站,E01,电力,7536.6,kWh,0.6723,5067.17,571.998,吨蒸汽,11.87,正常,MES
2025-03-13,W03,热处理车间,E03,蒸汽,32.123,t,222.193,7137.47,101.96,吨,10.82,正常,MES
2024-12-14,W04,机加工车间,E04,工业水,44.636,m³,4.0317,179.96,2638.34,件,1.01,低负荷,MES
2024-10-25,W07,动力站,E01,外购电,8038.648,kWh,0.692,5562.99,580.126,吨蒸汽,12.48,正常,MES
2025-07-04,W02,轧制车间,E01,电力,45412.223,kWh,0.6745,30631.09,344.991,吨,27.08,正常,MES
2024-09-21,W04,机加工车间,E01,电力,13402.65,kWh,0.6911,9261.94,2397.325,件,22.45,低负荷,MES
2024年03月25日,W05,表面处理车间,E02,天然气,987.639,m³,3.3607,3319.15,6969.898,平方米,12.7,正常,MES
2025-11-05,W07,动力站,E02,天然气,19473.07,m³,3.5489,69108.44,542.766,吨蒸汽,7.06,正常,MES
2025-08-15,W03,热处理车间,E01,电力,28270.28,kWh,0.6565,18560.01,102.185,吨,26.88,正常,MES
2024-07-25,W06,装配车间,E01,电力,15633.156,kWh,0.6845,10700.17,278.413,台,26.13,正常,MES
2024-03-16 00:00:00,W01,熔炼车间,E02,天然气,11207.847,m³,3.5517,39807.41,251.671,吨,4.18,正常,MES
2024-05-06,W03,热处理车间,E02,天然气,7313.917,m³,3.4344,25118.68,98.358,吨,19.38,正常,MES
2024-11-11,W04,机加工车间,E05,压缩空气,5731.305,立方米,0.2799,1604.31,3958.868,件,9.76,正常,MES
2024-10-07,W05,表面处理车间,E02,天然气,229.447,m³,,772.77,425.855,平方米,11.35,停产,MES
2024-03-11,W05,表面处理车间,E03,蒸汽,26.583,t,217.8836,5792.1,7186.2,平方米,4.06,正常,MES
2024-05-16,W07,动力站,E02,天然气,13243.012,立方米,3.4273,45387.79,556.491,吨蒸汽,18.49,正常,MES
2025-06-07,W01,熔炼车间,E02,天然气,7287.385,m³,3.4562,25186.92,281.266,吨,24.76,正常,MES
2024-03-03,W05,表面处理车间,E02,天然气,389.19,m3,,1349.9,1366.618,平方米,8.11,低负荷,MES
2025-02-20,W02,轧制车间,E01,电力,39663.941,kWh,0.6835,27109.8,311.311,吨,-1.46,正常,MES
2024-03-23,W01,熔炼车间,E04,工业水,267.058,m³,0.0,1070.18,289.561,吨,3.71,正常,MES
2024-07-14,W05,表面处理车间,E01,电力,9616.771,kWh,0.697,6702.66,1492.968,平方米,27.51,低负荷,MES
2025-08-14,W08,包装,E05,压缩空气,1326.023,m³,0.2928,388.23,9888.744,件,29.01,正常,MES
2025-10-15,W04,机加工车间,E01,电力,19233.337,kWh,0.6892,13256.1,4477.842,件,16.19,正常,MES
2025-01-22,W03,热处理车间,E01,电力,33950.994,kWh,0.6734,22862.95,94.168,吨,-11.0,正常,MES
2025-10-23,W05,表面处理车间,E04,工业水,433.448,m³,4.1107,1781.78,7503.599,平方米,18.93,正常,MES
2025-07-24,W05,表面处理车间,E02,天然气,691.782,m³,3.4394,2379.35,6736.524,平方米,29.83,正常,MES
2025-03-10,W01,熔炼车间,E02,天然气,9870.967,m³,3.4056,33616.76,284.327,吨,4.99,正常,MES
2024-11-26,W07,动力站,E02,天然气,18529.046,m³,3.5038,64921.17,482.203,吨蒸汽,5.67,正常,MES
2025-10-18,W07,动力站,E06,柴油,196.68,kg,7.9337,1560.41,552.092,吨蒸汽,21.59,正常,MES
2025-12-13,W01,熔炼车间,E02,天然气,11389.897,m³,3.3477,38129.92,267.562,吨,-4.38,正常,MES
2025-12-10,W03,热处理车间,E02,天然气,11898.141,m³,3.4218,40713.07,113.114,吨,-6.21,正常,MES
2025-12-04,W07,动力站,E02,天然气,21203.288,m³,3.5301,74848.77,524.888,吨蒸汽,0.95,正常,MES
2025-02-21,W08,包装车间,E05,压缩空气,1578.225,m³,0.2763,436.07,9744.229,件,-0.7,正常,MES
2025-06-02,W04,机加工车间,E05,压缩空气,1219.44,m³,0.2834,345.58,251.987,件,26.43,停产,MES
2025年06月26日,W05,表面处理车间,E04,新水,419.344,m³,4.0937,1716.68,7181.455,平方米,25.79,正常,MES
2024-01-07,W02,轧制车间,E01,电力,39560.76,kWh,0.683,27020.5,306.988,吨,-2.45,正常,MES
2025-05-25,W01,熔炼,E02,天然气,7973.404,m³,3.5719,28480.35,277.894,吨,24.55,正常,MES
2024-08-08 00:00:00,W02,轧制车间,E03,蒸汽,38.595,t,221.5925,8552.4,303.008,吨,29.84,正常,MES
2024-09-20,W08,包装车间,E01,电,5710.279,kWh,0.6873,3924.89,10370.848,件,27.65,正常,MES
2025-10-01,W04,机加工车间,E04,工业水,14.579,m³,4.1695,60.79,280.93,件,9.97,停产,MES
2025.03.03,W05,表面处理车间,E03,蒸汽,28.652,t,216.2559,6196.11,7102.726,平方米,6.08,正常,MES
2025-05-13,W07,动力站,,天然气,12961.529,m³,3.4163,44280.41,605.704,吨蒸汽,21.69,正常,MES
2024-11-30,W08,包装车间,E05,压缩空气,961.701,m³,0.2816,270.86,6708.177,件,7.76,低负荷,MES
2025年12月14日,W01,熔炼车间,E05,压缩空气,2800.519,m³,0.2768,775.13,259.987,吨,-2.69,正常,MES
2024年02月15日,W02,轧制车间,E04,工业水,156.024,m³,4.0696,634.95,291.401,吨,5.54,正常,MES
2024-12-21,W03,热处理车间,E02,天然气,11688.099,m3,3.3592,39262.9,99.255,吨,-1.63,正常,MES
2025-11-07,W05,表面处理车间,E03,蒸汽,28.322,t,219.3296,6211.88,7561.803,平方米,8.66,正常,MES
2025-03-11,W07,动力站,E02,天然气,17714.255,m³,3.4776,61602.69,535.417,吨蒸汽,8.61,正常,MES
2025-03-10,W07,动力站 ,E02,天然气,19585.416,m³,3.4279,67136.43,581.953,吨蒸汽,4.99,正常,MES
2025.11.14,W03,热处理车间,E01,电力,28035.164,kWh,0.6817,19111.77,94.959,吨,7.92,正常,MES
2024年12月25日,W03,热处理车间,E01,电力,31394.204,kWh,0.679,21317.74,94.285,吨,-3.3,正常,MES
2025-10-01,W02,轧制车间,E03,蒸汽,40.996,t,217.3687,8911.22,309.026,吨,9.97,正常,MES
2024/05/20,W05,表处车间,E01,电力,20697.038,kWh,0.6847,14170.39,7323.362,平方米,26.03,正常,MES
2025/01/06,W04,机加工车间,E01,电力,,kWh,0.6714,14594.51,4492.309,件,-6.05,正常,MES
2025.08.04,W05,表面处理车间,E04,工业水,420.539,m³,4.0594,1707.14,7689.696,平方米,26.21,正常,MES
2024-09-12,W02,轧制,E02,天然气,4898.674,m³,3.4067,16688.47,343.151,吨,23.63,正常,MES
2025-10-08,W07,动力站,E04,工业水,810.325,m³,4.0533,3284.45,544.173,吨蒸汽,16.25,正常,MES
2024-07-02,W05,表面处理车间,E04,工业水,426.555,m³,4.125,1759.54,7106.163,平方米,30.39,正常,MES
2024-11-24,W02,轧制车间,E03,蒸汽,48.285,t,222.5645,10746.54,333.483,吨,6.13,正常,MES
2024-02-16,W01,熔炼车间,E01,电力,41108.591,kWh,0.7026,28882.15,223.146,吨,-1.73,正常,MES
2025-07-05,W07,动力站,E01,电力,9759.142,kWh,0.683,6665.66,519.136,吨蒸汽,25.11,正常,MES
2024-10-06,W05,表面处理车间,E01,电力,5458.676,kWh,0.6873,3751.71,415.696,平方米,12.58,停产,MES
2024-01-16,W02,轧制车间,E04,工业水,180.204,m³,4.0496,729.75,357.549,吨,-3.47,正常,MES
2025-10-16,W01,熔炼车间,E01,电力,44373.212,kWh,0.6819,30259.78,277.557,吨,16.35,正常,MES
2024-06-04,W08,包装车间,E05,压缩空气,1414.374,m³,0.2767,391.38,10443.146,件,28.83,正常,MES
2024-02-09,W04,机加工车间,E01,电力,18759.306,kWh,0.6899,12941.72,4109.289,件,-7.92,正常,MES
2025-10-03,W01,熔炼车间,E05,压缩空气,3007.432,m³,0.2758,829.36,259.607,吨,16.14,正常,MES
2024-07-08,W08,包装车间,E01,电力,6920.136,kWh,0.688,4761.16,8820.894,件,28.67,正常,MES
2025-10-18,W05,表面处理车间,E02,天然气,651.396,m³,3.477,2264.92,4835.755,平方米,21.59,低负荷,MES
2024-02-13,W01,熔炼车间,E04,工业水,229.694,m³,4.1018,942.15,229.509,吨,0.65,正常,MES
2024-08-28,W07,动力站,E06,柴油,178.715,kg,7.8367,1400.54,520.832,吨蒸汽,30.49,正常,MES
2024-04-18,W01,熔炼车间,E04,工业水,263.014,m³,4.0396,1062.47,229.95,吨,9.2,正常,MES
2025-05-05,W05,表面处理车间,E01,电力,6255.97,kWh,0.6754,4225.51,386.484,平方米,17.23,停产,MES
2024-03-24,W04,机加工车间,E05,压缩空气,1921.839,m³,0.281,540.04,803.729,件,8.1,低负荷,MES
2025-05-25,W08,包装车间,E01,电力,1618.84,kWh,0.6987,1131.09,1966.185,件,24.55,低负荷,MES
2024-09-06,W07,动力站,E02,天然气,14229.822,m³,3.497,49761.14,511.468,吨蒸汽,23.41,正常,MES
2025-05-25,W03,热处理车间,E01,电力,25196.968,kw·h,0.6974,17573.51,91.502,吨,24.55,正常,MES
2025-01-16,W01,熔炼车间,E05,压缩空气,3273.308,m³,0.2784,911.18,256.679,吨,1.26,正常,MES
2025-10-17,W08,包装车间,E01,电力,5107.686,kWh,0.6677,3410.41,10806.262,件,17.97,正常,MES
2025-07-15,W07,动力站,E04,工业水,987.445,m³,4.1373,4085.34,540.444,吨蒸汽,29.2,正常,MES
2025-03-30,W03,热处理车间,E01,电力,24069.357,kWh,0.6659,16026.66,91.501,吨,8.97,正常,MES
2024-03-12,W05,表面处理车间,E02,天然气,1021.823,m³,3.5427,3619.98,6922.917,平方米,8.25,正常,MES
2024-07-16,W07,动力站,E02,天然气,11647.809,m³,3.4758,40485.25,524.455,吨蒸汽,25.51,正常,MES
2024-04-12,W02,轧制,E02,天然气,5779.456,m³,3.4271,19806.57,331.469,吨,14.04,正常,MES
2024-04-20,W08,包装车间,E05,压缩空气,875.124,m³,0.2827,247.43,,件,13.84,低负荷,MES
2025-06-30,W03,热处理车间,E02,天然气,6310.641,m³,3.5359,22313.77,104.643,吨,25.34,正常,MES
2024-02-17,W06,装配车间,E05,压缩空气,838.22,m³,0.2775,232.64,14.565,台,-0.14,停产,MES
2024-04-29,W02,轧制车间,E03,蒸汽,43.409,t,219.656,9535.1,338.376,吨,16.95,正常,MES
2025-01-23,W02,轧制车间,E04,工业水,186.404,m³,4.0608,756.95,327.434,吨,-6.42,正常,MES
2024-04-22,W01,熔炼车间,E05,压缩空气,3148.665,m³,0.2802,882.19,275.567,吨,15.69,正常,MES
2025-10-03,W04,机加工车间,E04,工业水,15.412,m³,4.1426,63.84,256.027,件,16.14,停产,MES
2024-04-03,W01,熔炼车间,E01,电力,41440.659,kWh,0.6791,28141.25,258.146,吨,11.87,正常,MES
2024-05-18,W03,热处理车间,E02,天然气,7442.009,m³,3.6334,27039.87,96.648,吨,20.11,正常,MES
2025-02-21,W07,动力站,E01,电力度,8965.167,kWh,0.6931,6213.58,583.2,吨蒸汽,-0.7,正常,MES
2024-09-07,W04,机加工车间,E05,压缩空气,4032.714,m³,0.279,1125.05,2758.514,件,22.08,低负荷,MES
2024-12-17,W02,轧制车间,E03,蒸汽,53.064,t,221.3071,11743.48,335.174,吨,-1.31,正常,MES
2025-11-19,W03,热处理车间,E01,电力,27054.429,kWh,0.6952,18809.09,101.972,吨,4.88,正常,MES
2025-08-27,W04,机加工车间,E05,压缩空气,5557.147,m³,0.2808,1560.58,4586.831,件,22.97,正常,MES
2024-08-07,W04,机加工车间,E01,电力,,kWh,0.6823,14642.93,4148.979,件,26.18,正常,MES
2024-06-04,W07,动力站,E06,柴油,178.379,kg,7.803,1391.89,552.261,吨蒸汽,28.83,正常,MES
2025-01-05,W08,包装车间,E05,压缩空气,421.702,m³,0.2823,119.07,1944.009,件,-1.47,低负荷,MES
2025-02-19,W07,动力站,E06,柴油,184.756,kg,7.6356,1410.71,600.101,吨蒸汽,0.92,正常,MES
2025-05-08,W02,轧制车间,E04,自来水,197.225,m³,4.1991,828.17,321.541,吨,24.03,正常,MES
2024-07-09,W01,熔炼车间,E04,工业水,265.469,m³,3.955,1049.92,291.858,吨,26.48,正常,MES
2025-06-17,W08,包装车间,E05,压缩空气,1456.661,m³,0.2803,408.37,10610.873,件,24.64,正常,MES
2024-08-08,W02,轧制车间,E01,电力,45903.698,kWh,0.6729,30886.47,303.008,吨,29.84,正常,MES
2024-10-22,W03,热处理车间,E03,蒸汽,29.335,t,216.6114,6354.19,95.116,吨,14.38,正常,MES
2024-02-28,W07,动力站,E04,工业水,926.644,m³,4.0735,3774.64,511.697,吨蒸汽,2.89,正常,MES
2025-07-24,W01,熔炼车间,E02,天然气,7340.181,m³,3.4147,25064.54,288.812,吨,29.83,正常,MES
2024-02-29,W03,热处理车间,E03,蒸汽,33.188,t,225.5515,7485.69,98.006,吨,0.96,正常,MES
2024-07-22,W07,动力站,E01,电力,10604.602,kWh,0.6953,7373.44,541.094,吨蒸汽,25.19,正常,MES
2024-07-11,W04,机加工车间,E04,工业水,57.716,m³,4.1637,240.31,4216.862,件,25.89,正常,MES
2025/09/27,W01,熔炼车间,E05,压缩空气,3191.446,m³,0.2786,889.25,270.64,吨,22.54,正常,MES
2024-01-29,W07,动力站,E04,工业水,890.595,m³,4.0697,3624.45,525.56,吨蒸汽,-7.36,正常,MES
2025-10-11,W02,轧制车间,E04,工业水,186.866,m³,4.0987,765.91,326.502,吨,15.23,正常,MES
2025-04-09,W05,表面处理车间,E04,工业水,445.771,m³,4.2018,1873.04,7757.104,平方米,12.52,正常,MES
2025-07-04,W07,动力站,E01,电力,10700.94,kWh,0.6705,7174.93,573.394,吨蒸汽,27.08,正常,MES
2024-07-04,W06,装配车间,E01,电,14852.815,kWh,0.6885,10226.58,294.332,台,28.07,正常,MES
2024-07-24,W03,热处理车间,E01,电力,30194.234,kWh,0.6832,20629.76,96.729,吨,25.62,正常,MES
2025-04-24,W06,装配车间,E05,压缩空气,3964.424,m³,0.2881,1142.23,270.711,台,14.79,正常,MES
2024-09-28,W01,熔炼车间,E02,天然气,7779.92,m³,3.4433,26788.76,251.192,吨,23.63,正常,MES
2025-04-02,W03,热处理车间,E01,电力,24105.356,kWh,0.7009,16894.42,99.721,吨,12.01,正常,MES
2024-04-14,W03,热处理车间,E02,天然气,7368.178,m³,3.4718,25581.02,91.688,吨,17.46,正常,MES
2024-08-24,W05,表面处理车间,E04,工业水,316.904,m³,4.0543,1284.83,4220.9,平方米,24.72,低负荷,MES
2025-12-26,W07,动力车间,E06,柴油,181.937,kg,7.804,1419.84,582.453,吨蒸汽,-2.76,正常,MES
2024-03-19,W05,表面处理车间,E02,天然气,966.622,m³,3.4107,3296.84,7158.773,平方米,9.68,正常,MES
2024-12-16,W05,表面处理车间,E04,工业水,447.907,m³,,1799.68,7579.819,平方米,1.83,正常,MES
2024-11-20,W07,动力站,E01,电力,8213.377,kWh,0.6933,5694.69,540.102,吨蒸汽,6.07,正常,MES
2024-09-20,W08,包装车间,E05,压缩空气,1339.695,m³,0.2793,374.12,10370.848,件,27.65,正常,MES
2025-01-18,W01,熔炼车间,E02,天然气,12721.783,m³,3.491,44411.64,281.519,吨,-7.86,正常,MES
2024年06月24日,W05,表面处理车间,E01,电力,24872.756,kWh,0.6837,17004.89,6905.235,平方米,21.03,正常,MES
2024-05-10,W07,动力站,E06,柴油,172.487,kg,7.8351,1351.44,528.125,吨蒸汽,22.0,正常,MES
2024/08/15,W03,热处理车间,E03,蒸汽,,t,222.023,5615.61,94.085,吨,26.52,正常,MES
2025-01-23,W06,装配车间,E05,压缩风,4052.546,m³,0.2799,1134.25,266.863,台,-6.42,正常,MES
